SSC,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs/No Religious Affiliation
Mindaribba,0,53,0,0,0,0,17
Mingoola (NSW),0,11,0,0,0,0,4
Minimbah,0,119,0,0,0,0,55
Minjary,0,39,0,0,0,0,0
Minmi,10,452,0,0,0,0,242
Minnamurra,3,464,0,3,0,0,233
Minnie Water,0,112,0,0,0,0,90
Minore,0,110,0,0,0,0,23
Minto,393,5896,1210,2110,0,257,1707
Minto Heights,4,238,0,25,0,0,68
Mirador,5,240,0,0,0,0,112
Miranda (NSW),297,9641,211,191,33,78,3664
Mirannie,0,53,0,0,0,0,4
Mirrabooka (NSW),5,462,0,0,0,0,207
Mirrool,0,75,0,0,0,0,6
Missabotti,3,140,0,0,0,0,126
Mitchell (NSW),6,275,4,21,0,4,226
Mitchells Flat,0,164,0,0,0,0,36
Mitchells Island,5,275,0,0,0,0,128
Mittagong,63,3398,67,14,12,26,1638
Moama,37,3823,17,4,0,53,1681
Modanville,10,359,0,0,0,9,184
Mogareeka,0,19,0,0,0,0,27
Mogendoura,5,83,0,0,0,0,76
Moggs Swamp,0,33,0,0,0,0,0
Mogilla,0,30,0,0,0,0,41
Mogo (Eurobodalla - NSW),0,159,0,0,0,9,119
Mogo (Mid-Western Regional - NSW),0,3,0,0,0,0,0
Mogo Creek,0,0,0,0,0,0,0
Mogood,0,13,0,0,0,0,10
Mograni,0,25,0,0,0,0,0
Mogriguy,0,70,0,0,0,0,27
Mole River,0,26,0,0,0,3,26
Moleville Creek,0,10,0,0,0,0,12
Mollyan,0,26,0,0,0,0,6
Mollymook,22,638,0,0,0,0,310
Mollymook Beach,37,1444,0,5,0,9,730
Molong,9,1904,0,4,0,14,419
Mona Vale,105,6132,51,34,36,39,3318
Monak,0,26,0,0,0,0,12
Monaltrie,4,140,0,0,0,4,35
Mondayong,0,0,0,0,0,0,0
Mondrook,0,107,0,0,0,0,53
Monga,0,4,0,0,0,0,7
Mongarlowe,0,28,0,0,0,0,66
Mongogarie,0,55,0,0,0,0,24
Monia Gap,0,6,0,0,0,0,3
Monivae,0,18,0,0,0,0,15
Monkerai,0,39,0,0,0,0,18
Monteagle,0,158,0,0,3,0,38
Montecollum,0,18,0,0,0,3,22
Montefiores,0,420,0,0,0,3,84
Monterey,70,3178,43,263,17,26,627
Mooball,8,107,0,0,0,0,55
Moobi,0,113,0,0,0,0,30
Moogem,0,0,0,0,0,0,0
Mookerawa,0,7,0,0,0,0,0
Mookima Wybra,0,7,0,0,0,3,17
Moolarben,0,11,0,0,0,0,0
Moollattoo,0,0,0,0,0,0,0
Moolpa,0,4,0,0,0,0,0
Moombooldool,0,13,0,0,0,0,8
Moonan Brook,0,21,0,0,0,0,7
Moonan Flat,0,87,0,0,0,0,14
Moonbah,10,320,0,0,3,0,187
Moonbi,0,752,0,0,0,0,216
Moonbria,0,5,0,0,0,0,0
Mooneba,0,46,0,0,0,0,28
Moonee,0,0,0,0,0,0,0
Moonee Beach,13,1082,0,4,0,13,690
Mooney Mooney,0,167,0,0,0,0,119
Mooney Mooney Creek,3,10,0,0,0,0,5
Moonpar,0,5,0,0,0,0,3
Mooral Creek,0,43,0,0,0,0,25
Moorara,0,0,0,0,0,0,0
Moorbel,0,162,0,0,0,0,58
Moore Creek,16,1815,6,0,0,0,368
Moore Park,0,4,0,0,0,0,6
Moorebank,423,6179,396,635,0,75,1414
Moorilda,0,24,0,0,0,0,4
Moorland (NSW),3,296,0,0,0,0,144
Moorong,0,114,0,0,0,0,42
Moorwatha,0,31,0,0,0,0,7
Moparrabah,6,50,0,0,0,0,34
Moppy,0,7,0,0,0,0,5
Morago,0,23,0,0,0,0,10
Morangarell,0,31,0,0,0,0,5
Morans Crossing,0,55,0,0,0,0,16
Moree,47,6441,67,21,0,22,1465
Morisset,20,2089,7,54,3,7,769
Morisset Park,10,470,5,0,0,5,200
Morning Bay,0,9,0,0,0,0,11
Mororo,0,47,0,0,0,0,31
Morpeth,3,984,0,0,3,8,319
Mortdale,363,5597,481,242,19,67,2824
Mortlake (NSW),33,615,12,24,0,0,262
Morton,0,112,0,0,0,0,67
Mortons Creek,3,188,0,0,0,0,60
Morts Estate,3,408,0,0,0,7,154
Morundah,0,42,0,0,0,0,19
Moruya,26,2314,11,9,0,19,1222
Moruya Heads,14,509,0,0,0,3,372
Morven (Glen Innes Severn - NSW),0,0,0,0,0,0,0
Morven (Greater Hume Shire - NSW),0,94,0,0,0,0,37
Mosman,403,15265,293,106,236,85,9072
Moss Vale,94,5300,85,19,6,36,2265
Mossgiel,0,26,0,0,0,0,8
Mossy Point,0,284,0,0,0,0,230
Moto,0,96,0,0,0,0,19
Moulamein,0,296,0,3,0,0,132
Mount Adrah,0,20,0,0,0,0,13
Mount Annan,160,7986,143,272,8,81,2441
Mount Aquila,0,0,0,0,0,0,0
Mount Arthur,0,117,0,0,0,6,18
Mount Austin,16,2570,14,56,0,31,978
Mount Burrell,11,51,3,0,0,6,103
Mount Colah,107,4054,112,126,14,47,2218
Mount Collins,0,8,0,0,0,0,3
Mount Cooper (NSW),0,0,0,0,0,0,0
Mount Darragh,0,14,0,0,0,0,3
Mount David,0,27,0,0,0,0,14
Mount Dee,0,7,0,0,0,0,0
Mount Druitt,183,8933,916,3717,7,228,1568
Mount Elliot (NSW),0,99,0,0,0,0,50
Mount Fairy,0,124,0,0,0,7,54
Mount Foster,0,0,0,0,0,0,0
Mount Frome,0,82,0,0,0,0,29
Mount George (NSW),10,156,0,0,0,0,74
Mount Harris,0,19,0,0,0,0,3
Mount Hope (NSW),0,12,0,0,0,0,4
Mount Horeb,0,21,0,0,0,0,4
Mount Hunter,0,524,0,0,0,0,152
Mount Hutton (NSW),25,2159,24,0,0,3,1017
Mount Irvine,0,10,0,0,0,0,3
Mount Keira,24,1010,0,15,0,9,484
Mount Kembla,9,616,0,3,0,0,366
Mount Kingiman,0,5,0,0,0,0,3
Mount Knowles,0,29,0,0,0,0,3
Mount Kuring-Gai,28,954,36,17,0,11,527
Mount Lambie,0,60,0,0,0,0,12
Mount Lewis,20,681,0,335,0,10,67
Mount Lindsey,0,0,0,0,0,0,0
Mount Marsden,0,37,0,0,0,0,13
Mount Marsh,0,0,0,0,0,0,3
Mount Mitchell,0,43,0,0,0,0,26
Mount Murray,0,25,0,0,0,0,20
Mount Olive (Oberon - NSW),0,11,0,0,0,0,0
Mount Olive (Singleton - NSW),0,118,0,0,0,0,30
Mount Ousley,22,967,5,22,0,0,465
Mount Panorama,0,78,0,0,0,0,13
Mount Pleasant (NSW),11,798,12,14,0,4,426
Mount Pritchard,1668,5185,53,686,3,139,1359
Mount Rankin,0,281,0,0,0,0,74
Mount Rivers,0,29,0,0,0,0,11
Mount Riverview,19,1898,5,10,5,6,955
Mount Royal,0,5,0,0,0,0,8
Mount Russell,0,70,0,0,0,0,15
Mount Saint Thomas,10,867,3,3,0,6,459
Mount Seaview,0,14,0,0,0,0,3
Mount Tenandra,0,11,0,0,0,0,6
Mount Thorley,0,51,0,0,0,0,3
Mount Tomah,0,16,0,0,0,0,41
Mount Vernon,27,946,6,25,0,0,74
Mount Victoria,11,397,0,0,0,4,445
Mount View,0,57,0,0,0,0,25
Mount Vincent,3,225,0,0,0,0,98
Mount Warning,0,41,0,0,0,0,31
Mount Warrigal,40,3135,8,85,0,13,1280
Mount Werong,0,4,0,0,0,0,0
Mount White,0,95,0,0,0,3,58
Mount Wilson,0,32,0,0,0,0,22
Mountain Creek (NSW),0,33,0,0,0,0,11
Mountain Lagoon,4,40,0,0,0,0,24
Mountain Top,0,16,0,0,0,0,30
Mountain View (NSW),0,104,0,0,0,0,47
Mourquong,0,41,0,0,0,0,22
Mowbray Park,0,56,0,0,0,0,18
Mozart,0,29,0,0,0,0,16
Mudgee,66,7248,24,12,3,46,2488
Mulbring,0,388,0,0,0,0,146
Mulgoa,9,1417,0,20,0,18,278
Mulgrave (NSW),0,49,0,0,0,0,26
Mulguthrie,0,0,0,0,0,0,0
Muli Muli,0,44,0,0,0,0,0
Mulla,0,10,0,0,0,0,0
Mulla Creek,0,61,0,0,0,0,15
Mullaley,0,120,0,0,0,0,21
Mullamuddy,4,40,0,0,0,0,6
Mullaway,8,260,0,0,0,6,221
Mullengandra,0,91,0,0,0,0,28
Mullengudgery,0,49,0,0,0,0,0
Mullion,0,41,0,0,0,0,40
Mullion Creek,9,416,0,0,0,3,74
Mulloon,0,87,0,0,0,0,24
Mullumbimby,103,1192,6,0,40,32,1690
Mullumbimby Creek,16,110,0,0,10,5,302
Mulwala,9,1367,3,0,0,0,585
Mulyandry,0,50,0,0,0,0,4
Mumbil,3,154,0,0,0,0,86
Mumblebone Plain,0,27,0,0,0,0,0
Mumbulla Mountain,0,0,0,0,0,0,0
Mummel,0,68,0,0,0,0,26
Mummulgum,0,62,0,0,0,0,26
Mundamia,0,49,0,0,0,0,15
Mundarlo,0,53,0,0,0,0,20
Munderoo,0,30,0,0,0,0,0
Mundongo,5,170,0,0,0,0,19
Mungay Creek,7,65,0,0,0,0,43
Munghorn,0,0,0,0,0,0,0
Mungindi (NSW),0,422,0,0,0,0,97
Mungo,0,0,0,0,0,0,0
Mungo Brush,0,0,0,0,0,0,0
Munni,0,29,0,0,0,0,6
Munyabla,0,39,0,0,0,0,6
Murga,0,50,0,0,0,0,10
Murrah,0,10,0,0,0,0,34
Murrami,0,166,0,0,0,0,49
Murrawombie,0,4,0,0,0,0,0
Murray Downs,0,156,0,0,0,0,72
Murray Gorge,0,0,0,0,0,0,0
Murrays Beach,3,341,0,0,4,0,246
Murrays Run,0,79,0,0,0,0,54
Murrengenburg,0,0,0,0,0,0,0
Murrin Bridge,0,71,0,0,0,0,9
Murringo,0,262,0,0,0,0,73
Murrulebale,0,29,0,0,0,0,3
Murrumbateman,16,1823,3,8,0,14,1110
Murrumbo,0,4,0,0,0,0,0
Murrumbucca,0,51,0,0,0,0,20
Murrumburrah,0,87,0,0,0,0,13
Murrurundi,3,687,15,17,0,0,194
Murulla,0,8,0,0,0,0,0
Murwillumbah,73,3875,190,0,6,125,2144
Muscle Creek,0,230,0,0,0,0,63
Muswellbrook,60,7711,53,35,7,45,2884
Mutawintji,0,16,0,0,0,0,15
Muttama,0,83,0,0,0,0,24
Myall Creek,0,28,0,0,0,0,5
Myall Lake,0,0,0,0,0,0,0
Myall Park (NSW),0,117,3,0,0,0,36
Myalla (NSW),0,0,0,0,0,0,0
Mylestom,8,202,0,0,0,0,103
Mylneford,0,48,0,0,0,0,19
Myocum,31,294,4,0,17,13,472
Myola (NSW),0,61,0,0,0,0,23
Myrtle Creek (NSW),0,50,0,0,0,0,27
Myrtle Mountain,0,11,0,0,0,4,30
Myrtle Park,0,41,0,0,0,0,0
Myrtleville,0,63,0,0,0,0,8
Mystery Bay,0,96,0,0,3,0,70
Myuna Bay,0,3,0,0,0,0,4
Nabiac,9,803,0,0,6,3,338
Nadgee,0,0,0,0,0,0,0
Nambucca Heads,63,3669,9,4,4,45,1782
Namoi River,0,37,0,0,0,0,20
Nana Glen,7,522,0,0,0,13,412
Nangus,0,175,0,0,0,0,26
Nanima,0,88,0,0,0,0,60
Napier Lane,0,14,0,0,0,0,12
Napoleon Reef,0,84,0,4,0,0,38
Naradhan,0,65,0,0,0,0,14
Narara,61,4816,31,47,3,34,2410
Narellan,23,2564,6,18,0,9,728
Narellan Vale,65,4959,25,90,0,32,1581
Naremburn,134,2764,99,61,44,24,2214
Narone Creek,0,11,0,0,0,0,13
Narooma,34,1335,9,4,0,8,885
Narrabarba,0,6,0,0,0,0,7
Narrabeen,68,4644,24,9,25,31,2608
Narrabri,27,5177,27,15,0,7,1475
Narraburra,0,49,0,0,0,0,9
Narran Lake,0,0,0,0,0,0,0
Narrandera,12,2941,5,10,0,10,904
Narrangullen,0,20,0,0,0,0,10
Narrawa,0,68,0,0,0,0,9
Narrawallee,18,744,3,0,0,4,373
Narraweena,147,4090,34,42,11,40,1729
Narromine,9,3405,3,3,0,4,773
Narwee,422,2609,153,410,0,31,1535
Nashdale,3,273,0,0,0,0,74
Nashua,4,109,0,0,0,6,107
Nattai,0,37,0,0,0,0,20
Naughtons Gap,0,47,0,0,0,0,16
Neath,3,291,0,0,0,4,126
Nebea,0,10,0,0,0,0,0
Neilrex,0,49,0,0,0,0,17
Nelligen,4,200,0,0,0,6,100
Nelson (Bega Valley - NSW),0,3,0,0,0,0,0
Nelson (The Hills Shire - NSW),4,346,0,0,0,0,71
Nelson Bay (NSW),61,3547,7,23,3,21,1668
Nelsons Plains,0,259,0,0,0,0,69
Nelungaloo,0,41,0,0,0,0,9
Nemingha,0,518,3,0,0,0,104
Nericon,0,221,0,0,0,0,44
Neringla,0,8,0,0,0,0,9
Nerong,0,68,0,0,0,0,26
Nerriga,0,31,0,0,0,0,24
Nerrigundah,0,12,0,0,0,0,11
Nethercote,8,156,0,0,0,0,148
Neurea,0,81,0,0,0,0,25
Neutral Bay,306,4409,211,55,80,46,4022
Never Never,0,0,0,0,0,0,0
Nevertire,0,141,0,0,0,0,17
Neville,0,173,0,0,0,0,45
New Berrima,0,387,3,0,5,9,139
New Brighton,12,107,0,0,0,0,160
New Buildings,0,20,0,0,0,0,16
New Italy,7,65,0,0,0,0,70
New Lambton,105,5888,73,56,10,27,3245
New Lambton Heights,22,1331,23,4,9,8,902
New Mexico,0,49,0,0,0,0,0
New Park,0,107,0,3,0,0,25
New Valley,0,21,0,0,0,0,9
Newbold,0,6,0,0,0,0,0
Newbridge (NSW),3,128,0,0,0,0,39
Newcastle,20,1154,29,45,5,10,1060
Newcastle East,23,416,0,8,3,0,438
Newcastle West,7,253,7,14,0,4,218
Newee Creek,0,215,0,0,0,3,124
Newington (NSW),306,2764,230,258,3,48,1744
Newnes,0,0,0,0,0,0,0
Newnes Plateau,0,0,0,0,0,0,0
Newport (NSW),108,4981,20,14,37,34,3476
Newrybar,6,196,0,0,0,5,188
Newstead (NSW),0,18,0,0,0,0,0
Newton Boyd,0,14,0,0,0,0,3
Newtown (NSW),473,3900,134,124,105,82,8209
Niagara Park,29,1573,0,5,0,7,923
Niangala,0,84,0,0,0,0,29
Niemur,4,23,0,0,0,0,7
Nightcap,0,0,0,0,0,0,0
Nimbin,39,285,6,0,3,40,808
Nimmitabel,0,213,0,0,0,3,77
Nimmo,0,17,0,0,0,0,0
Nobbys Creek,5,141,0,0,0,0,99
Nombi,0,30,0,0,0,0,3
Noona,0,15,0,0,0,0,0
Noorong,0,5,0,0,0,0,10
Nooroo,0,36,0,0,0,0,16
Norah Head,11,750,5,0,0,3,297
Noraville,27,1833,0,3,4,8,804
Nords Wharf,10,506,0,0,0,0,303
Normanhurst,125,3119,120,61,15,34,1451
North Albury,57,3265,115,15,4,77,1761
North Arm (NSW),0,65,9,0,0,0,47
North Arm Cove,0,266,0,0,0,0,134
North Avoca,14,1205,0,9,6,0,804
North Balgowlah,19,2000,5,10,15,11,1401
North Batemans Bay,10,329,0,0,0,11,156
North Boambee Valley,23,1077,24,15,0,15,584
North Bondi,72,2861,16,13,2010,21,3030
North Bourke,0,200,3,0,0,0,23
North Brother,0,0,0,0,0,0,0
North Casino,8,728,5,3,0,0,163
North Curl Curl,40,2268,12,19,6,3,1393
North Dorrigo,0,104,0,0,0,0,64
North Epping,146,2455,170,44,8,39,1371
North Gosford,63,2002,23,22,7,26,1202
North Haven (NSW),9,1038,10,3,0,8,400
North Lambton,60,1743,47,61,0,17,1166
North Lismore,18,344,4,0,0,12,298
North Macksville,0,400,0,0,0,0,131
North Macquarie,0,20,0,0,0,0,9
North Manly,37,1694,22,3,3,13,1091
North Narooma,3,296,6,0,4,9,243
North Narrabeen,74,3142,12,22,10,33,2064
North Nowra,54,3378,34,10,0,32,1772
North Parramatta,321,6207,1005,848,5,401,2888
North Richmond,37,3226,3,27,11,21,1301
North Rocks,301,4703,231,127,11,55,2058
North Rothbury,0,559,0,0,0,6,249
North Ryde,352,6231,290,219,67,113,2798
North Shore (NSW),3,204,0,0,0,0,107
North St Marys,50,2410,44,72,0,16,952
North Star,0,173,0,0,0,0,31
North Strathfield,236,2190,364,63,9,32,1377
North Sydney,230,3115,350,77,52,38,2889
North Tamworth,36,3436,67,30,0,31,973
North Tumbulgum,0,114,0,0,0,0,115
North Turramurra,31,2546,36,12,47,3,1052
North Wagga Wagga,6,466,0,8,0,0,150
North Wahroonga,43,1153,53,16,24,14,552
North Willoughby,151,2287,45,34,27,21,1289
North Wollongong,58,1081,70,119,0,5,977
North Woodburn,0,47,0,0,0,0,30
North Yalgogrin,0,43,0,0,0,0,16
North Yeoval,0,46,0,0,0,0,11
Northangera,0,23,0,0,0,0,15
Northbridge (NSW),128,3736,52,4,92,22,1890
Northmead,241,6549,493,527,5,222,2356
Northwood (NSW),14,554,6,0,8,6,281
Norway,0,44,0,0,0,0,16
Nowendoc,4,89,0,0,0,0,38
Nowley,0,46,0,0,0,0,4
Nowra,118,5045,46,23,7,68,2743
Nowra Hill,4,840,0,5,0,4,386
Nubba,0,69,0,0,0,0,7
Nulkaba,0,514,0,3,0,0,135
Nullamanna,0,96,0,0,0,0,54
Nullica,0,4,0,0,0,0,4
Nullo Mountain,0,15,0,0,0,4,8
Numbaa,0,76,0,0,0,0,28
Number One,0,3,0,0,0,0,11
Numbla Vale,0,19,0,0,0,0,21
Numbugga,6,57,0,0,0,0,41
Numeralla,0,113,0,0,0,0,86
Numinbah,3,66,0,0,0,6,33
Numulgi,4,105,0,4,0,0,63
Nunderi,7,400,0,0,0,3,176
Nundle,3,307,0,0,0,0,127
Nungatta,0,0,0,0,0,0,0
Nungatta South,0,0,0,0,0,0,0
Nurenmerenmong,0,6,0,0,0,0,0
Nymagee,0,68,0,0,0,0,28
Nymboida,4,127,0,0,0,0,121
Nyngan,9,1645,7,22,0,5,250
Nyora (NSW),0,0,0,0,0,0,3
Nyrang Creek,0,12,0,0,0,0,6
O'Connell (NSW),0,380,0,0,0,0,139
Oak Flats,82,3953,19,46,0,50,1800
Oakdale (NSW),5,1293,0,4,0,9,400
Oakey Park,8,191,0,0,0,0,88
Oakhampton,0,152,0,0,0,0,14
Oakhampton Heights,0,94,0,0,0,0,30
Oakhurst (NSW),87,4395,396,580,0,105,858
Oaklands,0,237,0,0,0,0,91
Oakville,9,1518,0,5,9,5,292
Oakwood (NSW),0,100,0,0,0,0,46
Oallen,0,56,0,0,0,0,40
Oatlands (NSW),153,3688,202,130,5,31,1118
Oatley,181,6710,69,108,13,22,2710
Oban,0,3,0,0,0,0,3
Obanvale,0,11,0,0,0,0,3
Oberne Creek,0,22,0,0,0,0,13
Oberon,22,2137,5,12,0,13,644
Obley,0,62,0,0,0,0,26
Ocean Shores,125,1782,6,9,43,40,2473
Ogunbil,0,105,0,0,0,4,31
Old Adaminaby,0,15,0,0,0,0,8
Old Bar,42,2871,15,5,4,24,1114
Old Bonalbo,0,54,0,0,0,8,10
Old Erowal Bay,9,594,6,0,0,5,345
Old Grevillia,0,28,0,0,0,0,9
Old Guildford,120,905,25,1222,0,6,175
Old Junee,0,184,0,0,0,0,56
Old Mill,0,12,0,0,0,0,3
Old Station,0,18,0,0,0,0,10
Old Toongabbie,52,2078,190,43,6,35,554
Olinda (NSW),0,16,0,0,0,0,3
Olney,0,0,0,0,0,0,0
Omadale,0,5,0,0,0,0,0
One Mile (NSW),0,268,0,0,0,0,114
One Tree,0,10,0,0,0,0,3
Oolong,0,34,0,0,0,0,22
Ooma,0,24,0,0,0,0,4
Ootha,0,54,0,0,0,0,12
Ophir,0,80,0,0,0,5,24
Oran Park,45,3098,169,156,0,31,812
Orange,229,25625,267,147,10,180,8454
Orange Grove (NSW),0,16,0,0,0,0,8
Orangeville,3,941,3,0,0,3,225
Orchard Hills,11,1439,19,41,0,25,204
Orient Point,4,370,0,0,0,5,165
Orton Park,0,12,0,0,0,0,7
Osborne (NSW),0,26,0,0,0,0,0
Osterley (NSW),0,106,0,0,0,0,10
Oswald,0,69,0,0,0,0,11
Otford,5,147,14,0,0,0,186
Oura,0,143,0,3,0,0,38
Ourimbah,46,2329,11,12,10,16,1295
Ournie,0,20,0,0,0,0,10
Owens Gap,0,44,0,0,0,0,8
Oxford Falls,0,59,0,0,0,0,47
Oxley (Balranald - NSW),0,15,0,0,0,0,9
Oxley (Warren - NSW),0,0,0,0,0,0,4
Oxley Island,3,211,0,0,0,0,77
Oxley Park,56,1845,82,168,5,21,577
Oxley Vale,31,2452,18,25,0,24,823
Oyster Bay,39,3591,10,19,4,15,1491
Oyster Cove (NSW),0,49,0,0,0,0,30
Packsaddle,0,58,0,0,0,0,12
Paddington (NSW),154,5300,56,46,286,38,5288
Paddys Flat (Kyogle - NSW),0,6,0,0,0,0,6
Paddys Flat (Snowy Monaro Regional - NSW),0,0,0,0,0,0,0
Paddys River (Snowy Valleys - NSW),0,15,0,0,0,0,4
Paddys River (Wingecarribee - NSW),0,26,0,0,0,0,13
Padstow,729,7526,299,777,0,118,2868
Padstow Heights,44,2623,22,94,3,4,547
Pagans Flat,0,4,0,0,0,0,0
Pages Creek,0,4,0,0,0,0,0
Pages River,0,0,0,0,0,0,0
Pagewood,87,2466,34,59,176,15,658
Palarang,0,32,0,0,0,0,17
Palerang,0,0,0,0,0,0,0
Paling Yards (Bathurst Regional - NSW),0,14,0,0,0,0,0
Paling Yards (Oberon - NSW),0,8,0,0,0,0,4
Pallal,0,65,0,0,0,0,19
Pallamallawa,0,321,0,0,0,0,59
Palm Beach (NSW),24,866,0,0,7,6,520
Palm Grove (NSW),0,50,0,0,0,0,41
Palmdale (NSW),0,59,0,0,0,0,31
Palmers Channel,0,82,0,0,0,0,32
Palmers Island,3,310,0,0,0,0,110
Palmers Oaky,0,11,0,0,0,0,21
Palmvale,0,32,0,0,0,6,34
Palmwoods (NSW),9,27,0,0,0,4,43
Pambula,8,514,10,0,0,4,353
Pambula Beach,3,330,0,0,0,0,248
Pampoolah,4,254,0,0,0,0,77
Pan Ban,0,16,0,0,0,0,8
Panania,422,7955,242,735,5,72,2197
Pangee,0,10,0,0,0,0,0
Panuara,0,53,0,0,0,0,11
Pappinbarra,0,27,0,0,0,0,43
Para,0,0,0,0,0,0,0
Paradise (NSW),0,5,0,0,0,0,6
Paringi,0,16,0,0,0,0,3
Parkes (NSW),45,8313,28,22,0,16,1848
Parkesbourne,0,106,0,0,0,0,48
Parklea,70,1143,388,162,0,224,312
Parkville (NSW),0,214,0,0,0,0,69
Parma,0,89,0,0,0,15,55
Parramatta,1068,6304,7352,1612,11,855,5620
Parraweena,0,35,0,0,0,0,0
Patchs Beach,0,19,0,0,0,0,23
Paterson (NSW),8,544,5,0,0,7,228
Patonga,9,129,0,0,0,0,47
Paupong,0,16,0,0,0,0,0
Paxton,6,624,6,0,0,5,218
Paynes Crossing,0,37,0,0,0,0,30
Paytens Bridge,0,71,0,0,0,0,11
Peacock Creek,0,9,0,0,0,0,5
Peak Hill (NSW),5,790,0,3,0,0,171
Peak View,0,25,0,0,0,0,9
Peakhurst,281,6791,153,430,24,39,2101
Peakhurst Heights,21,1715,10,41,3,3,411
Pearces Creek,4,90,0,0,0,0,65
Pearl Beach,3,255,0,4,0,3,207
Peats Ridge,7,236,0,3,0,0,89
Pebbly Beach,0,0,0,0,0,0,0
Peel,9,183,0,0,0,0,62
Peelwood,0,20,0,0,0,0,13
Pejar,0,41,0,0,0,0,3
Pelaw Main,8,660,3,0,0,0,284
Pelican (NSW),0,531,0,0,0,0,293
Pelton,0,52,0,0,0,0,34
Pembrooke,0,83,0,0,0,0,30
Pemulwuy,150,2599,763,407,0,75,648
Pendle Hill,132,2687,2478,308,4,268,735
Pennant Hills,249,3928,327,88,11,48,2118
Penrith,290,7409,281,225,14,160,3539
Penrose,5,101,0,0,0,6,112
Penshurst (NSW),605,6316,1029,511,22,82,3262
Pericoe,0,3,0,0,0,0,0
Perrys Crossing,0,0,0,0,0,0,0
Perthville,0,438,0,0,0,0,133
Petersham,189,3082,70,79,40,35,3606
Pheasants Nest,3,479,0,3,0,3,131
Phegans Bay,3,200,0,0,0,0,190
Phillip Bay,6,460,8,4,16,0,154
Phoenix Park,0,58,0,0,0,0,24
Piallamore,5,209,0,0,0,0,28
Piallaway,0,94,0,0,0,0,21
Piambong,0,103,0,0,0,0,24
Picketts Valley,0,129,0,0,0,0,82
Picnic Point,96,4225,73,194,0,23,1046
Picton (NSW),32,3260,4,13,8,14,1169
Pigeonbah,0,7,0,0,0,0,0
Piggabeen,0,188,0,0,0,0,104
Pikapene,0,4,0,0,0,0,0
Pillar Valley,0,144,0,0,0,0,116
Pilliga,0,144,0,0,0,0,26
Pilot Wilderness,0,0,0,0,0,0,0
Pimlico (NSW),0,173,0,0,0,0,87
Pimlico Island,0,0,0,0,0,0,0
Pinbeyan,0,0,0,0,0,0,0
Pindaroi,0,34,0,0,0,0,0
Pindimar,0,213,0,0,0,0,90
Pine Camp,0,7,0,0,0,0,0
Pine Clump,0,3,0,0,0,0,4
Pine Grove (NSW),0,9,0,0,0,0,0
Pine Lodge (NSW),0,42,0,0,0,0,19
Pine Ridge,0,67,0,0,0,0,38
Pine Valley,0,20,0,0,0,0,6
Piney Range,0,49,0,0,0,0,3
Pinkett,0,33,0,0,0,0,7
Pinnacle (NSW),0,31,0,0,0,0,10
Pinnacle Swamp,0,28,0,0,0,0,6
Pinny Beach,0,0,0,0,0,0,0
Piora,0,56,0,0,0,0,16
Pipeclay,0,42,0,0,0,0,8
Pitnacree,0,34,0,0,0,0,8
Pitt Town,13,2293,0,4,0,4,551
Pitt Town Bottoms,0,51,0,0,0,0,27
Pleasant Hills,0,95,0,0,0,0,15
Pleasure Point,4,401,38,25,0,0,49
Plumpton (NSW),103,5633,697,1250,0,120,808
Point Clare,59,2240,25,17,7,9,1145
Point Frederick,49,1076,20,5,10,19,514
Point Piper,18,598,3,5,194,0,405
Point Wolstoncroft,0,0,0,0,0,0,0
Pointer Mountain,0,7,0,0,0,0,0
Pokolbin,5,575,0,3,0,0,226
Pola Creek,0,48,0,0,0,0,14
Polo Flat,0,17,0,0,0,0,6
Pomeroy,0,82,0,0,0,0,18
Pomona (NSW),5,87,0,0,0,0,35
Ponto,0,43,0,0,0,0,4
Pooncarie,0,68,0,0,0,0,56
Port Botany,0,0,0,0,0,0,0
Port Hacking,7,799,0,0,3,0,200
Port Kembla,46,3365,6,49,0,13,1097
Port Macquarie,331,28425,165,48,44,159,11893
Port Stephens,0,0,0,0,0,0,0
Porters Creek,0,0,0,0,0,0,0
Porters Retreat,0,31,0,0,0,0,15
Portland (NSW),13,1599,3,8,0,8,470
Possum Brush,0,99,0,0,0,0,41
Possum Creek,4,86,0,0,0,0,146
Potato Point,0,61,0,0,0,0,48
Pottery Estate,0,77,0,0,0,8,33
Potts Hill,102,306,32,178,0,13,165
Potts Point,198,2396,71,84,88,35,3382
Pottsville,69,3714,13,3,10,38,2344
Prairiewood,337,2254,11,144,0,19,292
Premer,0,61,0,0,0,0,16
Prestons,614,7872,1441,2555,0,393,1394
Pretty Beach (Central Coast - NSW),0,175,0,4,0,0,142
Pretty Beach (Shoalhaven - NSW),0,0,0,0,0,0,0
Pretty Pine,0,45,0,0,0,0,9
Primbee,17,1046,3,21,0,5,382
Primrose Valley,3,67,0,0,0,4,64
Prospect (NSW),71,2980,385,225,0,46,646
Pucawan,0,31,0,0,0,0,3
Puddledock,0,30,0,0,0,0,11
Pulganbar,0,4,0,0,0,0,0
Pullabooka,0,24,0,0,0,0,21
Pulletop,0,43,0,0,0,0,21
Pumpenbil,3,89,0,0,6,0,75
Punchbowl (Canterbury-Bankstown - NSW),1094,8316,232,7247,0,46,1601
Punchbowl (Clarence Valley - NSW),0,3,0,0,0,0,0
Purfleet,0,89,0,0,0,0,32
