SSC,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs/No Religious Affiliation
Balaclava (NSW),0,269,0,3,0,0,142
Balala,0,72,0,0,0,0,33
Balcolyn,5,590,0,0,0,4,296
Bald Blair,0,37,0,0,0,0,11
Bald Hills (NSW),0,149,0,0,0,3,99
Bald Nob,0,13,0,0,0,0,0
Bald Ridge,0,3,0,0,0,0,0
Baldersleigh,0,27,0,0,0,0,18
Baldry,0,83,0,0,0,0,12
Balfours Peak,0,29,0,0,0,0,8
Balgowlah,102,3992,48,28,26,45,3012
Balgowlah Heights,29,1986,5,7,4,0,1114
Balgownie,37,3556,37,120,0,16,1400
Balickera,0,20,0,0,0,0,7
Balladoran,0,85,0,0,0,0,19
Ballalaba,0,18,0,0,0,0,0
Balldale,3,102,0,0,0,0,25
Ballengarra,0,61,0,0,0,0,18
Ballimore,0,135,0,0,0,0,29
Ballina,89,4968,36,11,5,59,2285
Ballyroe,0,4,0,0,0,0,4
Balmain,161,4405,60,52,84,27,4362
Balmain East,24,848,16,12,11,5,786
Balmoral (Lake Macquarie - NSW),4,442,0,0,0,0,241
Balmoral (Wingecarribee - NSW),8,261,0,0,0,3,123
Balranald,5,921,7,5,0,4,260
Bamarang,0,20,0,0,0,0,0
Banda Banda,0,0,0,0,0,0,0
Bandon Grove,0,75,0,0,0,0,26
Bangadang,0,11,0,0,0,0,0
Bangalee (NSW),5,418,9,0,0,3,192
Bangalow,36,722,8,0,7,33,1002
Bangheet,0,27,0,0,0,0,6
Bango,0,65,0,0,0,0,29
Bangor (NSW),42,4131,35,27,0,10,1064
Banksia,141,1907,106,259,4,17,616
Banksmeadow,0,11,0,0,0,0,8
Bankstown,3551,10829,473,9275,4,199,4197
Bankstown Aerodrome,0,0,0,0,0,0,0
Bannaby,0,22,0,0,0,0,13
Bannister (NSW),4,88,0,0,0,0,24
Banoon,0,22,0,0,0,0,0
Banora Point,134,10525,42,16,20,56,4180
Banyabba,0,25,0,0,0,0,15
Bar Beach,9,638,3,0,0,0,428
Bar Point,0,25,0,0,0,0,31
Bara,0,17,0,0,0,0,11
Baradine,5,562,0,0,0,0,137
Barangaroo,7,42,0,0,0,0,56
Barcoongere,0,0,0,0,0,0,0
Barden Ridge,33,3291,21,32,12,4,748
Bardia,58,689,235,188,0,25,261
Bardwell Park,82,1485,10,63,0,9,460
Bardwell Valley,40,1242,15,379,4,7,420
Barellan,5,379,6,3,0,0,69
Bargo,23,3056,3,4,0,20,1001
Barham,10,946,0,0,0,6,395
Barigan,0,4,0,0,0,0,0
Barkers Vale,3,17,0,0,0,0,108
Barmedman,0,314,0,0,0,10,86
Barneys Reef,0,0,0,0,0,0,0
Barnsley,6,1111,4,0,0,8,513
Barooga,10,1131,7,10,0,13,456
Barraba,4,1001,4,4,0,0,233
Barrack Heights,34,3735,9,70,0,34,1525
Barrack Point,11,430,0,0,0,6,168
Barraganyatti,0,71,0,0,0,0,45
Barragga Bay,8,34,0,0,0,0,50
Barratta (NSW),0,3,0,0,0,0,0
Barren Grounds,0,0,0,0,0,0,0
Barrengarry,0,82,0,0,8,0,60
Barretts Creek,0,7,0,0,0,0,5
Barringella,0,25,0,0,0,0,11
Barrington (NSW),5,264,0,0,0,0,62
Barrington Tops,0,0,0,0,0,0,0
Barry (Blayney - NSW),0,126,0,0,0,0,21
Barry (Upper Hunter Shire - NSW),0,4,0,0,0,0,0
Barwang,0,68,0,0,0,0,3
Barwon,0,27,0,0,0,0,5
Baryulgil,0,15,0,0,0,4,55
Basin View,5,836,0,7,0,0,537
Bass Hill,551,4414,36,2512,0,48,841
Bassendean (NSW),0,0,0,0,0,0,0
Batar Creek,0,32,0,0,0,0,28
Bateau Bay,69,7890,13,10,6,23,3213
Batehaven,19,1122,8,0,0,15,472
Batemans Bay,11,882,6,10,0,5,412
Bathampton,6,32,0,0,0,0,3
Bathurst,102,3907,95,53,4,51,1935
Batlow,19,768,5,8,0,14,361
Baulkham Hills,1195,21301,2111,942,38,489,8895
Baw Baw (NSW),0,187,0,0,0,0,48
Bawley Point,11,340,0,0,0,3,282
Baxters Ridge,0,0,0,0,0,0,0
Bayview (NSW),21,2120,0,8,14,11,1142
Beacon Hill,165,4475,34,47,19,43,2158
Beaconsfield (NSW),40,414,14,18,11,8,393
Bean Creek,0,46,0,0,0,0,10
Bearbong,0,50,0,0,0,0,7
Beaumont (NSW),0,50,0,0,0,0,47
Beaumont Hills,198,5732,482,428,7,200,1505
Beckom,8,88,0,0,0,0,11
Bective,0,158,0,0,0,0,28
Bectric,0,27,0,0,0,0,17
Bedgerabong,0,115,0,0,0,0,17
Beechwood,3,383,0,0,0,0,186
Beecroft,285,5299,355,78,12,84,2702
Beecroft Peninsula,0,0,0,0,0,0,0
Beelbangera,0,289,0,0,0,4,79
Beemunnel,0,11,0,0,0,0,0
Bega,40,2598,17,3,0,14,1524
Beggan Beggan,0,79,0,0,0,0,5
Belanglo,0,13,0,0,0,0,6
Belbora,0,68,0,0,0,0,24
Belfield,261,4238,107,356,3,16,938
Belford,0,108,0,0,0,0,35
Belfrayden,0,12,0,0,0,0,11
Belgravia,0,90,0,0,0,0,25
Belimbla Park,6,436,0,0,0,0,107
Bell (NSW),0,28,0,0,0,11,0
Bella Vista,343,4129,985,297,0,247,1426
Bellambi,51,2217,15,43,0,23,1253
Bellangry,0,54,0,0,0,6,26
Bellata,0,241,0,0,0,0,67
Bellawongarah,0,50,0,0,0,0,55
Bellbird,8,1321,10,0,0,7,513
Bellbird Heights,5,537,5,0,0,0,189
Bellbrook,0,183,0,0,0,6,72
Bellevue Hill,114,3818,50,26,2300,32,3076
Bellimbopinni,3,68,0,0,0,0,29
Bellingen,72,1430,8,16,23,47,1770
Bellmount Forest,0,70,0,0,0,0,48
Belltrees,0,18,0,0,0,0,8
Belmont (NSW),44,4438,28,19,0,23,1971
Belmont North,46,4077,9,4,0,20,1822
Belmont South,7,651,0,0,0,5,308
Belmore,693,6924,387,1638,10,121,1853
Belmore River,3,179,0,0,0,0,55
Beloka,0,12,0,0,0,0,8
Belowra,0,8,0,0,0,0,0
Belrose,76,5524,62,23,36,37,2334
Bemboka,7,284,0,0,0,4,220
Ben Bullen,0,57,0,0,0,0,19
