,SSC,variable,value,sortOrder
167,Tully Heads,Nil-income,4,0
168,Welcome Creek,Nil-income,4,0
169,Wellesley (Qld),Nil-income,3,0
170,Adelaide,Nil-income,150,0
171,American River,Nil-income,4,0
172,Balgowan (SA),Nil-income,6,0
173,Booborowie,Nil-income,4,0
174,Eastwood (SA),Nil-income,8,0
175,Port Germein,Nil-income,4,0
176,Pukatja,Nil-income,8,0
177,Tantanoola,Nil-income,3,0
178,Terowie,Nil-income,3,0
179,Thevenard,Nil-income,7,0
180,Tiatukia,Nil-income,3,0
181,Wingfield,Nil-income,5,0
182,Wolseley,Nil-income,3,0
183,Baskerville,Nil-income,6,0
184,Brabham,Nil-income,20,0
185,Clackline,Nil-income,4,0
186,Coonabidgee,Nil-income,4,0
187,Coondle,Nil-income,7,0
188,Deanmill,Nil-income,5,0
189,Dumbarton,Nil-income,3,0
190,Durack (WA),Nil-income,4,0
191,East Rockingham,Nil-income,3,0
192,Eneabba,Nil-income,4,0
193,Hopeland (WA),Nil-income,3,0
194,Kadathinni,Nil-income,4,0
195,Karawara,Nil-income,18,0
196,Koorda,Nil-income,3,0
197,Middlesex (WA),Nil-income,3,0
198,Miling,Nil-income,6,0
199,Millendon,Nil-income,5,0
200,Muckenburra,Nil-income,3,0
201,Myrup,Nil-income,5,0
202,Ora Banda,Nil-income,3,0
203,Osmington,Nil-income,5,0
204,Perenjori,Nil-income,4,0
205,Quedjinup,Nil-income,3,0
206,Scotsdale,Nil-income,4,0
207,Waterbank,Nil-income,4,0
208,Marion Bay (Tas.),Nil-income,3,0
209,Moina,Nil-income,4,0
210,North Motton,Nil-income,5,0
211,Oldina,Nil-income,3,0
212,Ringarooma,Nil-income,4,0
213,Ross (Tas.),Nil-income,4,0
214,Adelaide River,Nil-income,6,0
215,Kalkarindji,Nil-income,13,0
216,Lajamanu,Nil-income,3,0
217,McArthur,Nil-income,3,0
218,Nauiyu,Nil-income,3,0
219,Noonamah,Nil-income,3,0
220,Pine Creek (NT),Nil-income,5,0
221,Adaminaby,"$1-7,799",4,1
222,Alstonvale,"$1-7,799",4,1
223,Ashley,"$1-7,799",4,1
224,Batemans Bay,"$1-7,799",8,1
225,Bogan Gate,"$1-7,799",5,1
226,Bowraville,"$1-7,799",5,1
227,Boxers Creek,"$1-7,799",5,1
228,Brewarrina,"$1-7,799",13,1
229,Buckajo,"$1-7,799",4,1
230,Bundarra,"$1-7,799",5,1
231,Bungowannah,"$1-7,799",3,1
232,Carrington (Mid-Coast - NSW),"$1-7,799",3,1
233,Carroll,"$1-7,799",4,1
234,Clergate,"$1-7,799",4,1
235,Comboyne,"$1-7,799",4,1
236,Coomba Park,"$1-7,799",4,1
237,Coopernook,"$1-7,799",5,1
238,Corney Town,"$1-7,799",5,1
239,Cumborah,"$1-7,799",4,1
240,Dabee,"$1-7,799",6,1
241,Dareton,"$1-7,799",3,1
242,Deer Vale,"$1-7,799",6,1
243,Denham Court,"$1-7,799",65,1
244,Dolphin Point,"$1-7,799",3,1
245,Drake,"$1-7,799",3,1
246,Dyers Crossing,"$1-7,799",6,1
247,East Gresford,"$1-7,799",5,1
248,Elsmore,"$1-7,799",12,1
249,Emmaville,"$1-7,799",5,1
250,Eugowra,"$1-7,799",7,1
251,Eungella (NSW),"$1-7,799",3,1
252,Fishermans Paradise,"$1-7,799",3,1
253,Frogmore,"$1-7,799",5,1
254,Galong,"$1-7,799",5,1
255,Georgica,"$1-7,799",3,1
256,Girvan,"$1-7,799",3,1
257,Gledswood Hills,"$1-7,799",4,1
258,Gulargambone,"$1-7,799",4,1
259,Gurley,"$1-7,799",3,1
260,Heatherbrae,"$1-7,799",4,1
261,Kiah,"$1-7,799",4,1
262,Kinchela,"$1-7,799",3,1
263,Knockrow,"$1-7,799",3,1
264,Koorawatha,"$1-7,799",4,1
265,Lake Conjola,"$1-7,799",4,1
266,Lanitza,"$1-7,799",6,1
267,Larnook,"$1-7,799",4,1
268,Lochiel (NSW),"$1-7,799",6,1
269,Mayrung,"$1-7,799",3,1
270,Mogilla,"$1-7,799",3,1
271,Mount Burrell,"$1-7,799",6,1
272,Murrays Run,"$1-7,799",3,1
273,Nelligen,"$1-7,799",3,1
274,Nerong,"$1-7,799",4,1
275,Nimmitabel,"$1-7,799",3,1
276,Numinbah,"$1-7,799",3,1
277,Nymagee,"$1-7,799",6,1
278,Palmers Channel,"$1-7,799",3,1
279,Peak Hill (NSW),"$1-7,799",13,1
280,Pearl Beach,"$1-7,799",5,1
281,Pillar Valley,"$1-7,799",4,1
282,Piney Range,"$1-7,799",4,1
283,Purfleet,"$1-7,799",4,1
284,Rosewood (Snowy Valleys - NSW),"$1-7,799",3,1
285,Tarcutta,"$1-7,799",4,1
286,Tindarey,"$1-7,799",4,1
287,Twelve Mile Creek,"$1-7,799",3,1
288,Tyringham,"$1-7,799",4,1
289,Upper Burringbar,"$1-7,799",3,1
290,Verona,"$1-7,799",5,1
291,Winton (NSW),"$1-7,799",5,1
292,Woolbrook,"$1-7,799",4,1
293,Worrowing Heights,"$1-7,799",3,1
294,Wuuluman,"$1-7,799",3,1
295,Yarranbella,"$1-7,799",6,1
296,Buchan South,"$1-7,799",3,1
297,Byrneside,"$1-7,799",3,1
298,Carpendeit,"$1-7,799",5,1
299,Catani,"$1-7,799",3,1
300,Cavendish,"$1-7,799",4,1
301,Cobains,"$1-7,799",3,1
302,Cornella,"$1-7,799",4,1
303,Dargo,"$1-7,799",6,1
304,Derrinallum,"$1-7,799",5,1
305,Dingee,"$1-7,799",4,1
306,Don Valley,"$1-7,799",6,1
307,Donnybrook (Vic.),"$1-7,799",3,1
308,Dunnstown,"$1-7,799",4,1
309,French Island,"$1-7,799",3,1
310,Gapsted,"$1-7,799",4,1
311,Glenburn,"$1-7,799",4,1
312,Gunbower,"$1-7,799",5,1
313,Hansonville,"$1-7,799",5,1
314,Hesket,"$1-7,799",3,1
315,Irrewarra,"$1-7,799",4,1
316,Kongwak,"$1-7,799",6,1
317,Laharum,"$1-7,799",3,1
318,Lake Bunga,"$1-7,799",3,1
319,Lake Fyans,"$1-7,799",4,1
320,Linton,"$1-7,799",4,1
321,Loch Sport,"$1-7,799",3,1
322,Longwood East,"$1-7,799",3,1
323,Merino,"$1-7,799",4,1
324,Modewarre,"$1-7,799",6,1
325,Moyston,"$1-7,799",3,1
326,Narrawong,"$1-7,799",5,1
327,Newry,"$1-7,799",6,1
328,Nungurner,"$1-7,799",3,1
329,Nyah West,"$1-7,799",3,1
330,Princetown,"$1-7,799",6,1
331,Pyramid Hill,"$1-7,799",6,1
332,Quambatook,"$1-7,799",6,1
333,Rainbow,"$1-7,799",5,1
334,Redesdale,"$1-7,799",3,1
335,Ripplebrook,"$1-7,799",3,1
336,Riverslea,"$1-7,799",6,1
337,Rosewhite,"$1-7,799",5,1
338,Rowsley,"$1-7,799",4,1
339,Swan Reach (Vic.),"$1-7,799",5,1
340,Talbot (Vic.),"$1-7,799",3,1
341,Tungamah,"$1-7,799",4,1
342,Undera,"$1-7,799",3,1
343,Wheatsheaf,"$1-7,799",4,1
344,Won Wron,"$1-7,799",4,1
345,Woolsthorpe,"$1-7,799",6,1
346,Amamoor,"$1-7,799",6,1
347,Amity,"$1-7,799",3,1
348,Applethorpe,"$1-7,799",5,1
349,Augathella,"$1-7,799",3,1
350,Bald Knob,"$1-7,799",5,1
351,Ball Bay,"$1-7,799",4,1
352,Boompa,"$1-7,799",3,1
353,Boyne Valley,"$1-7,799",3,1
354,Byfield,"$1-7,799",4,1
355,Cardwell,"$1-7,799",8,1
356,Carmila,"$1-7,799",3,1
357,Cawdor (Qld),"$1-7,799",3,1
358,Coconuts,"$1-7,799",3,1
359,Colosseum,"$1-7,799",3,1
360,Coulson,"$1-7,799",3,1
361,Degarra,"$1-7,799",4,1
362,Depot Hill,"$1-7,799",7,1
363,Douglas (Toowoomba - Qld),"$1-7,799",3,1
364,Durong,"$1-7,799",3,1
365,Eidsvold,"$1-7,799",4,1
366,Fassifern Valley,"$1-7,799",3,1
367,Freestone,"$1-7,799",3,1
368,Gin Gin (Qld),"$1-7,799",6,1
369,Grandchester,"$1-7,799",3,1
370,Gregory River (Bundaberg - Qld),"$1-7,799",3,1
371,Gurgeena,"$1-7,799",3,1
372,Herberton,"$1-7,799",6,1
373,Ilbilbie,"$1-7,799",3,1
374,Isis River,"$1-7,799",3,1
375,Jericho (Qld),"$1-7,799",5,1
376,Kaban,"$1-7,799",4,1
377,Kensington (Qld),"$1-7,799",5,1
378,Kogan,"$1-7,799",5,1
379,Kulangoor,"$1-7,799",4,1
380,Lake Mary,"$1-7,799",3,1
381,Langlo,"$1-7,799",3,1
382,Laura (Qld),"$1-7,799",3,1
383,Leyburn,"$1-7,799",4,1
384,Mer Island,"$1-7,799",4,1
385,Mighell,"$1-7,799",3,1
386,Moolboolaman,"$1-7,799",3,1
387,Mount Larcom,"$1-7,799",6,1
388,Mount Rascal,"$1-7,799",3,1
389,Paddys Green,"$1-7,799",3,1
390,Pasha,"$1-7,799",3,1
391,Paterson (Qld),"$1-7,799",3,1
392,Pentland,"$1-7,799",4,1
393,Pinnacle (Qld),"$1-7,799",4,1
394,Ravenshoe,"$1-7,799",10,1
395,Ridgewood (Qld),"$1-7,799",6,1
396,Rosslyn,"$1-7,799",4,1
397,Saibai Island,"$1-7,799",8,1
398,Severnlea,"$1-7,799",7,1
399,Silkwood,"$1-7,799",3,1
400,South East Nanango,"$1-7,799",3,1
401,Springside (Qld),"$1-7,799",3,1
402,Stanwell,"$1-7,799",3,1
403,The Summit,"$1-7,799",3,1
404,Thorndale,"$1-7,799",3,1
405,Tinana South,"$1-7,799",4,1
406,Tirroan,"$1-7,799",3,1
407,Toobanna,"$1-7,799",4,1
408,Tuan,"$1-7,799",3,1
409,Tummaville,"$1-7,799",5,1
410,Valdora,"$1-7,799",4,1
411,Victoria Plains,"$1-7,799",4,1
412,Wellesley Islands,"$1-7,799",7,1
413,Wolfang,"$1-7,799",6,1
414,Woolooga,"$1-7,799",6,1
415,Wootha,"$1-7,799",3,1
416,Yangan,"$1-7,799",5,1
417,Beachport,"$1-7,799",5,1
418,Bowhill,"$1-7,799",5,1
419,Campoona,"$1-7,799",3,1
420,Carrickalinga,"$1-7,799",4,1
421,Glossop,"$1-7,799",9,1
422,Goolwa North,"$1-7,799",5,1
423,Hilton (SA),"$1-7,799",7,1
424,Kingston On Murray,"$1-7,799",3,1
425,Lyrup,"$1-7,799",6,1
426,Melrose (SA),"$1-7,799",3,1
427,Nildottie,"$1-7,799",4,1
428,Port Vincent,"$1-7,799",5,1
429,Wynarka,"$1-7,799",3,1
430,Ambergate,"$1-7,799",6,1
431,Bejoording,"$1-7,799",3,1
432,Belhus,"$1-7,799",3,1
433,Cuballing,"$1-7,799",5,1
434,Fitzroy Crossing,"$1-7,799",11,1
435,Goode Beach,"$1-7,799",6,1
436,Greenough,"$1-7,799",7,1
437,Laverton (WA),"$1-7,799",3,1
438,Leeman,"$1-7,799",3,1
439,Lowden,"$1-7,799",3,1
440,Marbelup,"$1-7,799",5,1
441,Marybrook,"$1-7,799",4,1
442,Meerup,"$1-7,799",3,1
443,Mueller Ranges,"$1-7,799",4,1
444,Mukinbudin,"$1-7,799",5,1
445,Mullewa,"$1-7,799",4,1
446,Nilgen,"$1-7,799",5,1
447,St George Ranges,"$1-7,799",11,1
448,Sturt Creek,"$1-7,799",5,1
449,Tanami (WA),"$1-7,799",7,1
450,Three Springs,"$1-7,799",3,1
451,Torbay,"$1-7,799",3,1
452,Warmun,"$1-7,799",3,1
453,West Pingelly,"$1-7,799",3,1
454,Wickepin,"$1-7,799",3,1
455,Yathroo,"$1-7,799",5,1
456,Barrington (Tas.),"$1-7,799",4,1
457,Binalong Bay,"$1-7,799",3,1
458,Birchs Bay,"$1-7,799",4,1
459,Coles Bay,"$1-7,799",4,1
460,Dolphin Sands,"$1-7,799",5,1
461,Garden Island Creek,"$1-7,799",4,1
462,Gretna,"$1-7,799",3,1
463,Lower Barrington,"$1-7,799",5,1
464,Moriarty,"$1-7,799",5,1
465,Port Huon,"$1-7,799",5,1
466,South Bruny,"$1-7,799",6,1
467,South Riana,"$1-7,799",6,1
468,St Helens (Tas.),"$1-7,799",9,1
469,Wattle Grove (Tas.),"$1-7,799",3,1
470,White Beach,"$1-7,799",3,1
471,Ali Curung,"$1-7,799",5,1
472,Alpurrurulam,"$1-7,799",7,1
473,Amoonguna,"$1-7,799",10,1
474,Anmatjere,"$1-7,799",3,1
475,Barunga,"$1-7,799",4,1
476,Batchelor,"$1-7,799",4,1
477,Beswick,"$1-7,799",10,1
478,Binjari,"$1-7,799",3,1
479,Bradshaw,"$1-7,799",4,1
480,Bulman Weemol,"$1-7,799",8,1
481,Daguragu,"$1-7,799",7,1
482,East Arnhem,"$1-7,799",10,1
483,Emungalan,"$1-7,799",3,1
484,Engawala,"$1-7,799",5,1
485,Galiwinku,"$1-7,799",12,1
486,Gunbalanya,"$1-7,799",13,1
487,Haasts Bluff,"$1-7,799",4,1
488,Hermannsburg,"$1-7,799",5,1
489,Jilkminggan,"$1-7,799",6,1
490,Kakadu,"$1-7,799",6,1
491,Kalkarindji,"$1-7,799",3,1
492,Katherine South,"$1-7,799",9,1
493,Kintore,"$1-7,799",23,1
494,Maningrida,"$1-7,799",34,1
495,Milikapiti,"$1-7,799",6,1
496,Milingimbi,"$1-7,799",16,1
497,Miniyeri,"$1-7,799",5,1
498,Mount Zeil,"$1-7,799",3,1
499,Nemarluk,"$1-7,799",5,1
500,Nganmarriyanga,"$1-7,799",8,1
501,Ngukurr,"$1-7,799",8,1
502,Numbulwar,"$1-7,799",32,1
503,Papunya,"$1-7,799",12,1
504,Pirlangimpi,"$1-7,799",9,1
505,Ramingining,"$1-7,799",16,1
506,Sandover,"$1-7,799",7,1
507,Santa Teresa,"$1-7,799",4,1
508,Thamarrurr,"$1-7,799",3,1
509,Wadeye,"$1-7,799",27,1
510,Warruwi,"$1-7,799",3,1
511,Warumungu,"$1-7,799",3,1
512,West Arnhem,"$1-7,799",7,1
513,Wurrumiyanga,"$1-7,799",45,1
514,Wutunugurra,"$1-7,799",4,1
515,Yarralin,"$1-7,799",4,1
516,Yirrkala,"$1-7,799",11,1
517,Airds,"$7,800-15,599",19,2
518,Ariah Park,"$7,800-15,599",4,2
519,Arrawarra,"$7,800-15,599",4,2
520,Ashford (NSW),"$7,800-15,599",5,2
521,Ashmont,"$7,800-15,599",34,2
522,Badgerys Creek,"$7,800-15,599",6,2
523,Balranald,"$7,800-15,599",11,2
524,Barkers Vale,"$7,800-15,599",3,2
525,Barmedman,"$7,800-15,599",4,2
526,Beelbangera,"$7,800-15,599",4,2
527,Belmore River,"$7,800-15,599",3,2
528,Bemboka,"$7,800-15,599",5,2
529,Bendolba,"$7,800-15,599",5,2
530,Bentley (NSW),"$7,800-15,599",3,2
531,Berrambool,"$7,800-15,599",3,2
532,Bethungra,"$7,800-15,599",3,2
533,Bidwill (NSW),"$7,800-15,599",47,2
534,Bimbimbie,"$7,800-15,599",5,2
535,Boggabilla,"$7,800-15,599",16,2
536,Bonalbo,"$7,800-15,599",3,2
537,Bowraville,"$7,800-15,599",5,2
538,Brooms Head,"$7,800-15,599",3,2
539,Cabramatta,"$7,800-15,599",227,2
540,Cawongla,"$7,800-15,599",3,2
541,Chatsworth (NSW),"$7,800-15,599",4,2
542,Chillingham,"$7,800-15,599",4,2
543,Clandulla,"$7,800-15,599",3,2
544,Claymore,"$7,800-15,599",29,2
545,Coolagolite,"$7,800-15,599",5,2
546,Coolangatta (NSW),"$7,800-15,599",4,2
547,Coolgardie (NSW),"$7,800-15,599",6,2
548,Coomealla,"$7,800-15,599",7,2
549,Currawang,"$7,800-15,599",4,2
550,Dangar Island,"$7,800-15,599",4,2
551,Darbys Falls,"$7,800-15,599",5,2
552,Dareton,"$7,800-15,599",3,2
553,Deepwater (NSW),"$7,800-15,599",3,2
554,Delegate,"$7,800-15,599",3,2
555,Denhams Beach,"$7,800-15,599",4,2
556,Deua River Valley,"$7,800-15,599",3,2
557,Dyers Crossing,"$7,800-15,599",5,2
558,Ellangowan (NSW),"$7,800-15,599",4,2
559,Empire Vale,"$7,800-15,599",5,2
560,Eveleigh,"$7,800-15,599",3,2
561,Falls Creek (NSW),"$7,800-15,599",9,2
562,Glencoe (NSW),"$7,800-15,599",6,2
563,Gleniffer,"$7,800-15,599",4,2
564,Gocup,"$7,800-15,599",4,2
565,Goodooga,"$7,800-15,599",3,2
566,Goolgowi,"$7,800-15,599",5,2
567,Gooloogong,"$7,800-15,599",5,2
568,Gormans Hill,"$7,800-15,599",6,2
569,Halfway Creek,"$7,800-15,599",3,2
570,Hallsville,"$7,800-15,599",6,2
571,Hastings Point,"$7,800-15,599",4,2
572,Hermitage Flat,"$7,800-15,599",5,2
573,Huonbrook,"$7,800-15,599",4,2
574,Jesmond,"$7,800-15,599",16,2
575,Kalang,"$7,800-15,599",5,2
576,Kamarah,"$7,800-15,599",4,2
577,Kandos,"$7,800-15,599",9,2
578,Kangy Angy,"$7,800-15,599",5,2
579,Kempsey,"$7,800-15,599",3,2
580,Kiah,"$7,800-15,599",5,2
581,Kielvale,"$7,800-15,599",4,2
582,Legume,"$7,800-15,599",4,2
583,Lilli Pilli (Eurobodalla - NSW),"$7,800-15,599",5,2
584,Lillian Rock,"$7,800-15,599",3,2
585,Limpinwood,"$7,800-15,599",3,2
586,Long Flat (NSW),"$7,800-15,599",6,2
587,Majors Creek (NSW),"$7,800-15,599",3,2
588,Maloneys Beach,"$7,800-15,599",3,2
589,Menindee,"$7,800-15,599",5,2
590,Minimbah,"$7,800-15,599",3,2
591,Mitchells Island,"$7,800-15,599",3,2
592,Monteagle,"$7,800-15,599",8,2
593,Montefiores,"$7,800-15,599",4,2
594,Moulamein,"$7,800-15,599",4,2
595,Mount Burrell,"$7,800-15,599",3,2
596,Mount Lewis,"$7,800-15,599",13,2
597,Mungindi (NSW),"$7,800-15,599",5,2
598,Murrurundi,"$7,800-15,599",9,2
599,Neath,"$7,800-15,599",4,2
600,Neville,"$7,800-15,599",4,2
601,Nimbin,"$7,800-15,599",16,2
602,Orient Point,"$7,800-15,599",4,2
603,Pilliga,"$7,800-15,599",4,2
604,Pinnacle (NSW),"$7,800-15,599",3,2
605,Possum Creek,"$7,800-15,599",3,2
606,Potato Point,"$7,800-15,599",3,2
607,Purfleet,"$7,800-15,599",5,2
608,Quandialla,"$7,800-15,599",3,2
609,Quipolly,"$7,800-15,599",3,2
610,Ravenswood (NSW),"$7,800-15,599",4,2
611,Rowena,"$7,800-15,599",3,2
612,Sedgefield,"$7,800-15,599",4,2
613,Shannon Vale,"$7,800-15,599",5,2
614,South Arm (Nambucca - NSW),"$7,800-15,599",5,2
615,Spring Creek (NSW),"$7,800-15,599",6,2
616,Stuart Town,"$7,800-15,599",5,2
617,Sutton Forest,"$7,800-15,599",5,2
618,Tabulam,"$7,800-15,599",3,2
619,Teven,"$7,800-15,599",5,2
620,The Channon,"$7,800-15,599",3,2
621,Tumbulgum,"$7,800-15,599",4,2
622,Turill,"$7,800-15,599",5,2
623,Ungarie,"$7,800-15,599",6,2
624,Upper Taylors Arm,"$7,800-15,599",3,2
625,Vale Of Clwydd,"$7,800-15,599",4,2
626,Villawood,"$7,800-15,599",46,2
627,Wallarah,"$7,800-15,599",4,2
628,Wallendbeen,"$7,800-15,599",3,2
629,Wards River,"$7,800-15,599",5,2
630,Watagan,"$7,800-15,599",5,2
631,Watsons Creek (NSW),"$7,800-15,599",3,2
632,Wattle Flat (NSW),"$7,800-15,599",4,2
633,Whitton,"$7,800-15,599",6,2
634,Woodburn (Richmond Valley - NSW),"$7,800-15,599",4,2
635,Wyndham (NSW),"$7,800-15,599",3,2
636,Yanco,"$7,800-15,599",3,2
637,Yarragal,"$7,800-15,599",4,2
638,Yarrawonga Park,"$7,800-15,599",5,2
639,Bandiana,"$7,800-15,599",3,2
640,Barongarook,"$7,800-15,599",8,2
641,Benloch,"$7,800-15,599",6,2
642,Bethanga,"$7,800-15,599",5,2
643,Bostocks Creek,"$7,800-15,599",3,2
644,Broughton (Vic.),"$7,800-15,599",3,2
645,Callignee,"$7,800-15,599",4,2
646,Carlsruhe,"$7,800-15,599",4,2
647,Carrajung,"$7,800-15,599",3,2
648,Cavendish,"$7,800-15,599",5,2
649,Clonbinane,"$7,800-15,599",4,2
650,Coolaroo,"$7,800-15,599",21,2
651,Coragulac,"$7,800-15,599",5,2
652,Corop,"$7,800-15,599",3,2
653,Crossover,"$7,800-15,599",3,2
654,Daisy Hill (Vic.),"$7,800-15,599",4,2
655,Donnybrook (Vic.),"$7,800-15,599",4,2
656,Dutton Way,"$7,800-15,599",3,2
657,Eskdale (Vic.),"$7,800-15,599",4,2
658,Gheringhap,"$7,800-15,599",3,2
659,Girgarre,"$7,800-15,599",4,2
660,Grassmere,"$7,800-15,599",3,2
661,Jam Jerrup,"$7,800-15,599",3,2
662,Kialla West,"$7,800-15,599",5,2
663,Kinglake Central,"$7,800-15,599",4,2
664,Lake Tyers,"$7,800-15,599",3,2
665,Landsborough (Vic.),"$7,800-15,599",3,2
666,Learmonth (Vic.),"$7,800-15,599",3,2
667,Leitchville,"$7,800-15,599",3,2
668,Lemnos,"$7,800-15,599",3,2
669,Lindenow South,"$7,800-15,599",6,2
