SSC,population
Biala,57
Bibbenluke,86
Biddon,97
Bidgeemia,30
Bidwill (NSW),4280
Bielsdown Hills,104
Big Hill (NSW),48
Big Jacks Creek,53
Big Ridge,11
Big Springs,119
Bigga,243
Bilambil,418
Bilambil Heights,3365
Bilbul,556
Bilgola Beach,244
Bilgola Plateau,3516
Billeroy,42
Billilingra,9
Billimari,152
Billinudgel,215
Billys Creek,56
Billywillinga,194
Bilpin,666
Bimberi,0
Bimbi,116
Bimbimbie,120
Binalong,543
Binda,281
Bindera,30
Bingara,1427
Bingeebeebra Creek,34
Bingie,199
Bingleburra,26
Biniguy,148
Binjura,322
Binna Burra (NSW),218
Binnaway,605
Binya,140
Birchgrove,3302
Birdwood (NSW),43
Birganbigil,51
Birmingham Gardens,2374
Birriwa,54
Birrong,3104
Bishops Bridge,249
Bithramere,174
Black Creek (Port Macquarie-Hastings - NSW),50
Black Creek (Snowy Valleys - NSW),21
Black Head,853
Black Hill (NSW),561
Black Hollow,19
Black Mountain (NSW),308
Black Range (NSW),202
Black Springs (NSW),224
Blackalls Park,2756
Blackbutt (NSW),3298
Blackett,3446
Blackheath,4395
Blackmans Flat,26
Blackmans Point,168
Blacksmiths,1843
Blacktown,47172
Blackville,114
Blackwall (NSW),1892
Blair Athol (NSW),2881
Blairmount,421
Blakebrook,150
Blakehurst,6219
Blakney Creek,64
Bland,43
Blandford,182
Blaxland (NSW),7449
Blaxlands Creek,118
Blaxlands Ridge,503
Blayney,3377
Bligh Park,6360
Blighty,138
Blowering,0
Blue Bay,1030
Blue Haven,6377
Blue Knob,221
Blue Mountains National Park,0
Blue Nobby,26
Blue Vale,61
Blueys Beach,188
Boambee,1667
Boambee East,5242
Boambolo,53
Boat Harbour (Lismore - NSW),142
Boat Harbour (Port Stephens - NSW),958
Bobadah,11
Bobin,157
Bobs Creek,87
Bobs Farm,444
Bobundara,19
Boco,0
Bocoble,149
Bocobra,53
Bodalla,740
Bodangora,75
Boeill Creek,102
Bogan,14
Bogan Gate,291
Bogangar,3062
Bogee,78
Boggabilla,989
Boggabri,1129
Bogong Peaks Wilderness,0
Bohena Creek,171
Bohnock,69
Bolaro,38
Bolivia,70
Bolong,102
Bolton Point,2122
Bolwarra (NSW),991
Bolwarra Heights,2981
Bom Bom,0
Bomaderry,6666
Bombah Point,14
Bombala,1383
Bombay,118
Bombira,349
Bombo,108
Bombowlee,295
Bombowlee Creek,51
Bomen,26
Bomera,38
Bonalbo,373
Bondi,10049
Bondi Beach,11653
Bondi Forest,3
Bondi Junction,9440
Bonnells Bay,3575
Bonnet Bay,2265
Bonny Hills,2976
Bonnyrigg,8670
Bonnyrigg Heights,7305
Bonshaw (NSW),136
Bonville,2548
Booerie Creek,165
Book Book,94
Booker Bay,1322
Bookham,162
Bookookoorara,28
Bookram,0
Boolambayte,84
Boolaroo,1034
Boolcarroll,14
Booligal,96
Boolijah,0
Boomanoomana,95
Boomerang Beach,297
Boomey,73
Boomi,203
Boomi Creek,21
Boona Mount,20
Boonal,45
Boonoo Boonoo,17
Boorabee Park,103
Booragul,1282
Booral (NSW),404
Boorga,12
Boorganna,27
Boorolong,86
Boorook,31
