SSC,population
Rawdon Vale,23
Raworth,1789
Rawsonville,53
Raymond Terrace,12815
Razorback,1084
Red Head,515
Red Hill (Snowy Valleys - NSW),0
Red Hill (Tamworth Regional - NSW),20
Red Hill (Warren - NSW),11
Red Range,185
Red Rock,440
Red Rocks,5
Redbank (NSW),373
Redbournberry,229
Reddestone,52
Redfern,13213
Redhead,3517
Redlands,38
Reedy Creek (NSW),172
Reedy Swamp,77
Reefton (NSW),40
Regents Park (NSW),4926
Regentville,809
Reids Flat,84
Reidsdale,124
Rennie,45
Renwick,573
Repentance Creek,105
Repton,650
Reserve Creek,127
Retreat (NSW),51
Revesby,14180
Revesby Heights,1671
Rhine Falls,41
Rhodes,11908
Richlands (NSW),34
Richmond (NSW),5481
Richmond Hill (NSW),822
Richmond Lowlands,45
Richmond Vale,83
Rileys Hill,175
Ringwood (NSW),35
Riverlea,45
Riverside (NSW),323
Riverstone,7243
Rivertree,18
Riverview (NSW),3354
Riverwood,12098
Rixs Creek,21
Rob Roy,62
Robertson (NSW),1863
Robin Hill,924
Rock Flat,75
Rock Forest,202
Rock Valley,265
Rockdale,15535
Rockley,187
Rockley Mount,80
Rockton,26
Rocky Creek (Gwydir - NSW),53
Rocky Creek (Inverell - NSW),9
Rocky Glen,79
Rocky Hall,42
Rocky Plain (NSW),63
Rocky Point (NSW),263
Rocky River (Tenterfield - NSW),24
Rocky River (Uralla - NSW),270
Rodd Point,1381
Rollands Plains,156
Rookhurst,66
Rookwood (NSW),0
Rooty Hill,14704
Ropers Road,14
Ropes Crossing,6172
Rose Bay (NSW),10051
Rose Valley (Kiama - NSW),75
Rose Valley (Snowy Monaro Regional - NSW),30
Rosebank,418
Roseberg,32
Roseberry,38
Roseberry Creek,36
Rosebery (NSW),10116
Rosebrook (NSW),73
Rosedale (NSW),225
Rosehill (NSW),3807
Roselands,11573
Rosemeadow,7860
Rosemeath,19
Roseville,10085
Roseville Chase,1615
Rosewood (Port Macquarie-Hastings - NSW),227
Rosewood (Snowy Valleys - NSW),211
Roslyn,89
Rossglen,57
Rossgole,3
Rossi,96
Rossmore (NSW),2283
Roto,45
Rouchel,150
Rouchel Brook,30
Roughit,116
Round Mountain,146
Round Swamp,19
Rous,230
Rous Mill,195
Rouse Hill,7967
Rowan,92
Rowena,183
Rowlands Creek,75
Royal National Park,24
Royalla,984
Rozelle,8726
Ruby Creek,64
Rufus,21
Rugby,72
Rukenvale,31
Run-o-Waters,471
Running Stream,132
Runnyford,18
Ruse,5583
Rushcutters Bay,2547
Rushes Creek,104
Rushforth,245
Russell Lea,5000
Russell Vale,1544
Rutherford,11887
Ruthven,105
Ryan (NSW),18
Rydal,211
Rydalmere,6640
Ryde,26501
Rye Park,254
Ryhope,22
Rylstone,921
Sackville,302
Sackville North,314
Saddleback Mountain,70
Sadleir,3135
Safety Beach (NSW),933
Salamander Bay,4814
Salisbury (NSW),62
Salisbury Plains,88
Sallys Flat,12
Salt Ash,1127
Saltwater,6
San Isidore,384
San Remo (NSW),4355
Sancrox,573
Sanctuary Point,7221
Sandbar,0
Sandgate (NSW),303
Sandigo,87
Sandilands (NSW),8
Sandon (NSW),13
Sandringham (NSW),1236
Sandy Beach,2285
Sandy Creek (Cobar - NSW),32
Sandy Creek (Upper Hunter Shire - NSW),25
Sandy Crossing,35
Sandy Flat,86
Sandy Gully (NSW),21
Sandy Hill,25
Sandy Hollow,170
Sandy Point (NSW),588
Sanger,4
Sans Souci,10305
Sapphire,39
Sapphire Beach,2081
Saratoga,3944
Sassafras (NSW),32
Saumarez,92
Saumarez Ponds,435
Savernake,96
Sawpit Creek,11
Sawtell,3684
Sawyers Gully,498
Scarborough (NSW),307
Scheyville,13
Schofields,4979
Scone,5625
Scotia,26
Scotland Island,579
Scotts Creek (NSW),25
Scotts Flat,38
Scotts Head,898
Seaforth (NSW),7137
Seaham,1007
Seahampton,298
Seal Rocks,46
Sebastopol (NSW),57
Sedgefield,182
Seelands,416
Sefton,5807
Segenhoe,225
Seven Hills (NSW),19326
Seven Oaks,67
Sextonville,20
Shadforth (NSW),81
Shallow Bay,47
Shalvey,3464
Shanes Park,407
Shannon Brook,176
Shannon Vale,147
Shannondale,89
Shannons Flat,80
Shark Creek,24
Sharps Creek,20
Sheedys Gully,87
Shell Cove,5624
Shellharbour,3557
Shellharbour City Centre,243
Shelly Beach (NSW),1312
Sherwood (Clarence Valley - NSW),65
Sherwood (Kempsey - NSW),146
Sherwood (Kyogle - NSW),27
Shoal Bay (NSW),1866
Shoalhaven Heads,3061
Shooters Hill,36
Shortland,3905
Silent Grove,17
Silverdale (NSW),3680
Silverton (NSW),50
Silverwater (Lake Macquarie - NSW),298
Silverwater (Parramatta - NSW),4166
Simpkins Creek,23
Singleton (NSW),5003
Singleton Heights,4688
Singleton Military Area,318
Singletons Mill,6
Six Mile Swamp,0
Skennars Head,1158
Skillion Flat,79
Skinners Shoot,127
Sleepy Hollow,102
Smeaton Grange,17
Smithfield (NSW),11977
Smiths Creek (Clarence Valley - NSW),16
Smiths Creek (Kyogle - NSW),60
Smiths Creek (Tweed - NSW),302
Smiths Lake,1235
Smithtown,591
Snakes Plain,11
Snowball,0
Snowy Plain,0
Sodwalls,66
Sofala,128
Soldiers Point,1431
Somersby,1064
Somerton (NSW),279
South Albury,1380
South Arm (Clarence Valley - NSW),235
South Arm (Nambucca - NSW),318
South Ballina,36
South Bathurst,1580
South Bowenfels,1160
South Coogee,5500
South Durras,336
South Golden Beach,807
South Grafton,6071
South Granville,5500
South Gundagai,814
South Gundurimba,320
South Guyra,333
South Hurstville,5145
South Kempsey,2300
South Lismore,1873
South Littleton,299
South Maitland,467
South Maroota,557
South Murwillumbah,1112
South Nowra,1929
South Pambula,483
South Penrith,11788
South Tamworth,6564
South Turramurra,3089
South Wentworthville,6200
South West Rocks,4602
South Windsor,5893
South Wolumla,178
Southampton (NSW),21
Southgate,184
Speers Point,3317
Speewa,96
Spencer,304
Spicers Creek,75
Spicketts Creek,46
Splitters Creek,269
Spring Creek (NSW),127
Spring Farm (NSW),4304
Spring Flat,202
Spring Grove,436
Spring Hill (Cabonne - NSW),498
Spring Hill (Wollongong - NSW),0
Spring Mountain (NSW),15
Spring Plains,76
Spring Ridge,240
Spring Terrace,125
Springdale (NSW),153
Springdale Heights,2030
Springfield (Central Coast - NSW),4106
Springfield (Snowy Monaro Regional - NSW),38
Springrange,297
Springside (NSW),306
Springvale (Lithgow - NSW),47
Springvale (Wagga Wagga - NSW),1736
Springwood (NSW),8474
St Albans (NSW),161
St Andrews (NSW),5730
St Clair (Penrith - NSW),19895
St Clair (Singleton - NSW),9
St Fillans,241
St George (NSW),0
St Georges Basin,2913
St Helens Park,6604
St Huberts Island,1059
St Ives (NSW),17301
St Ives Chase,3152
St Johns Park,6118
St Leonards (NSW),5495
St Marys (NSW),12201
St Peters (NSW),3146
Stanborough,72
Stanbridge,202
Stanford Merthyr,552
Stanhope (NSW),144
Stanhope Gardens,9160
Stanmore (NSW),7940
Stannifer,76
Stannum,57
Stanwell Park,1410
Stanwell Tops,498
State Mine Gully,18
Steam Plains,4
Steeple Flat,36
Stewarts Brook,38
Stewarts River,117
Stockinbingal,373
Stockrington,83
Stockton (NSW),4161
Stockyard Creek (NSW),42
Stokers Siding,663
Stonehenge (NSW),128
Stonequarry,22
Stony Chute,166
Stony Creek (Bega Valley - NSW),138
Stony Creek (Mid-Western Regional - NSW),48
Stony Crossing,14
Stotts Creek,5
Stratford (NSW),148
Strathcedar,82
Stratheden,215
Strathfield (NSW),25809
Strathfield South,3542
Stroud,933
Stroud Hill,26
Stroud Road,229
Stuart Town,234
Stuarts Point,770
Stubbo,226
Stud Park,50
Suffolk Park,3750
Sugarloaf (NSW),72
Summer Hill (Dungog - NSW),56
Summer Hill (Inner West - NSW),7306
Summer Hill Creek,216
Summer Island,97
Summerland Point,2498
Sun Valley (NSW),229
Sunny Corner,94
Sunset Strip (NSW),88
Sunshine (NSW),426
Sunshine Bay,1223
Suntop,72
Surf Beach (NSW),1875
Surfside,1376
Surry Hills,16416
Sussex Inlet,3576
Sutherland (NSW),10822
Sutton (NSW),1658
Sutton Forest,472
Swan Bay (Port Stephens - NSW),315
Swan Bay (Richmond Valley - NSW),223
Swan Creek (NSW),114
Swan Vale,46
Swanbrook,11
Swanhaven,194
Swans Crossing,0
Swansea (NSW),5058
Swansea Heads,612
Sweetmans Creek,61
Sydenham (NSW),1144
Sydney,17252
Sydney Olympic Park,1737
Sylvania,10481
Sylvania Waters,3166
Tabbil Creek,39
Tabbimoble,34
Tabbita,74
Table Top,1427
Tabulam,467
Tacoma,631
Tacoma South,250
Tahlee,16
Tahmoor,5068
Talarm,217
Talawanta,28
Talbingo,242
Tallawang,170
Tallimba,185
Tallong,813
Tallowal,0
Tallowwood Ridge,52
Tallwood,73
Tallwoods Village,706
Talmalmo,56
Talofa,103
Taloumbi,107
Tamarama,1622
Tamban,92
Tambar Springs,191
Tambaroora,44
Taminda,55
Tamworth,179
Tanglewood,91
Tanilba Bay,3156
Tanja,150
Tannabar,64
Tannas Mount,46
Tantangara,0
Tantawangalo,159
Tantonan,25
Tapitallee,610
Tara (NSW),27
Taradale (NSW),36
Tarago,425
Taralga,465
Tarana,166
Tarban,5
Tarbuck Bay,192
Tarcutta,445
Taree,16199
Taree South,311
Taren Point,1734
Tarlo,166
Tarraganda,335
Tarrawanna,2072
Tarriaro,118
Tarro,1643
Tascott,1603
Tatham,208
Tathra,1676
Tatton,2620
Taylors Arm,153
Taylors Beach (NSW),122
Taylors Flat,61
Tea Gardens,2878
Telarah,2334
Telegraph Point,609
Telopea,5432
Temagog,236
Temora,4691
Tempe,3556
Ten Mile Hollow,0
Tenambit,2903
Tenandra,84
Tennyson (NSW),387
Tennyson Point,1215
Tenterden (NSW),30
Tenterfield,4062
Teralba,1587
Terania Creek,185
Terara,229
Teridgerie,53
Termeil,256
Terrabella,20
Terrace Creek,51
Terragon,73
Terramungamine,271
Terranora,2928
Terreel,5
Terrey Hills,3035
Terrigal,11349
Terry Hie Hie,73
Teven,290
Tewinga,89
Texas (NSW),41
Thalgarrah,178
Tharbogang,507
The Angle,90
The Bight,67
The Branch,83
The Brothers,37
The Channon,376
The Devils Wilderness,0
The Entrance,4004
The Entrance North,1472
The Freshwater,8
The Gap (Richmond Valley - NSW),0
The Gap (Wagga Wagga - NSW),63
The Glen (NSW),5
The Gulf,0
The Hatch,40
The Hill,1943
The Junction,1053
The Lagoon,214
The Marra,59
The Meadows,9
The Oaks,2524
The Pilliga,0
The Pinnacles,84
The Pocket,277
The Ponds,11732
The Ridgeway,159
The Risk,61
The Rock,1236
The Rocks (Bathurst Regional - NSW),67
The Rocks (Sydney - NSW),775
The Sandon,4
The Slopes,332
The Whiteman,137
Theresa Creek (NSW),70
Theresa Park,535
Thirldene,5
Thirlmere,4043
Thirroul,6084
Thora,328
Thornleigh,8467
Thornton (NSW),8062
Thrumster,419
Thuddungra,117
Thule,35
Thumb Creek,22
Thurgoona,8658
Thyra,9
Tianjara,0
Tibbuc,24
Tibooburra,137
Tichborne,79
Tichular,5
Tighes Hill,1683
Tilba Tilba,94
Tilbuster,58
Tilligerry Creek,0
Tilpa,44
Timbarra (NSW),29
Timbillica,7
Timbumburi,140
Timor (NSW),55
Tindarey,35
Tinderry,66
Tingha,834
Tingira Heights,2148
Tinonee,1090
Tinpot,3
Tintenbar,826
Tintinhull,395
Tiona,4
Tipperary (NSW),33
Tiri,3
Tirrannaville,235
Titaatee Creek,14
Tocal (NSW),49
Tocumwal,2684
Tolland,3359
Tolwong,0
Tomago,282
Tomakin,1003
Tomalla,18
Tombong,14
Tomboye,40
Tomerong,1072
Tomewin,106
Tomingley,303
Tomki,76
Toms Creek,42
Tonderburine,56
Tongarra,109
Toogong,82
Tooleybuc,276
Toolijooa,128
Tooloom,23
Tooloon,49
Tooma,105
Toongabbie (NSW),14333
Toongi,60
Toonumbar,39
Tooranie,7
Tooraweenah,233
Toormina,6194
Toorooka,51
Toothdale,173
Tootool,72
Toowoon Bay,526
Topi Topi,51
Toronto,5599
Torrington (NSW),81
Torryburn (Dungog - NSW),145
Torryburn (Uralla - NSW),42
Totnes Valley,31
Tottenham (NSW),453
Touga,0
Toukley,4549
Towallum,0
Towamba,228
Townsend,884
Towradgi,3126
Towrang,177
Tralee,7
Trangie,1191
Tregeagle,458
Tregear,3883
Trenayr,84
Trentham Cliffs,66
Trewilga,38
Triamble,21
Triangle Flat,59
Trundle,687
Trungley Hall,78
Trunkey Creek,118
Tubbamurra,17
Tubbul,79
Tucabia,367
Tucki Tucki,171
Tuckombil,259
Tuckurimba,104
Tuena,63
Tuggerah,925
Tuggerawong,1274
Tugrabakh,82
Tullakool,72
Tullamore,423
Tullarwalla,0
Tullera,282
Tullibigeal,234
Tullimbar,535
Tulloona,52
Tullymorgan,134
Tumbarumba,1859
Tumbi Umbi,5111
Tumblong,201
Tumbulgum,408
Tumorrama,35
Tumut,6231
Tumut Plains,62
Tuncester,73
Tuncurry,6182
Tunglebung,30
Tuntable Creek,192
Tuppal,10
Tura Beach,3162
Turill,100
Turlinjah,158
Turners Flat,149
Turondale,82
Tuross,14
Tuross Head,2242
Turramurra,11922
Turrawan,67
Turrella,2512
Turvey Park,3331
Tweed Heads,8179
Tweed Heads South,7615
Tweed Heads West,6200
Twelve Mile,27
Twelve Mile Creek,163
Twelve Mile Peg,0
Twenty Forests,0
Twin Rivers,35
Two Mile Flat,96
Tyagarah,149
Tyalgum,546
Tyalgum Creek,109
Tygalgah,126
Tyndale,171
Tyringham,100
Uarbry,44
Uki,695
Ulamambri,210
Ulan,57
Ulladulla,6615
Ulmarra,784
Ulong,237
Ultimo,8846
Umina Beach,16735
Unanderra,5431
Underbank,32
Undercliffe,11
Ungarie,559
Unumgar,26
Upper Allyn,10
Upper Bingara,33
Upper Burringbar,276
Upper Bylong,8
Upper Colo,58
Upper Coopers Creek,63
Upper Copmanhurst,86
Upper Corindi,155
Upper Crystal Creek,187
Upper Dartbrook,146
Upper Duck Creek,7
Upper Duroby,100
Upper Eden Creek,45
Upper Fine Flower,30
Upper Growee,11
Upper Horseshoe Creek,122
Upper Horton,170
Upper Kangaroo River,117
Upper Kangaroo Valley,0
Upper Karuah River,3
Upper Lansdowne,567
Upper Macdonald,28
Upper Main Arm,222
Upper Mangrove,0
Upper Manilla,122
Upper Mongogarie,21
Upper Myall,24
Upper Nile,8
Upper Orara,817
Upper Pappinbarra,61
Upper Rollands Plains,147
Upper Rouchel,68
Upper Taylors Arm,125
Upper Tooloom,46
Upper Turon,12
Upper Wilsons Creek,71
Upsalls Creek,118
Uralba,216
Uralla (NSW),2746
Urana,389
Urangeline,18
Urangeline East,20
Uranquinty,910
Urawilkie,15
Urbenville,319
Uriarra,30
Urila,138
Urliup,188
Urunga,3001
Utungun,170
Vacy,632
Vale Of Clwydd,482
Valentine,5513
Valery,140
Valla,937
Valla Beach,1311
Valley Heights,1213
Varroville,113
Vaucluse,9333
Verges Creek,231
Verona,288
Villawood,6033
Vincentia,3291
Vineyard,1163
Violet Hill,0
Vittoria (NSW),61
Voyager Point,1666
Wadalba,2832
Wadbilliga,0
Wadeville,170
Wagga Wagga,7102
Wagstaffe,224
Wahroonga,17364
Waitara,5939
Waitui,109
Wakefield,140
Wakeley,4745
Wakool,301
Walang,86
Walbundrie,150
Walcha,2549
Walcha Road,54
Waldegrave,27
Walgett,2148
Walla Walla,834
Wallabadah,420
Wallabi Point,697
Wallacetown,3
Wallacia,1627
Wallaga Lake,548
Wallagoot,521
Wallalong,1030
Wallamore,119
Wallanbah,80
Wallangra,100
Wallanthery,33
Wallarah,364
Wallaringa,17
Wallarobba,173
Wallaroo (NSW),710
Wallendbeen,259
Wallerawang,1978
Walleroobie,71
Wallingat,0
Wallis Lake,0
Wallsend,12468
Walmer (NSW),38
Wamban,90
Wambangalang,87
Wamberal,6551
Wamboin,1710
Wambool,37
Wambrook,46
Wanaaring,143
Wandandian,325
Wandella (NSW),140
Wandera,22
Wandook,44
Wandsworth,96
Wang Wauk,88
Wanganella,80
Wanganui,49
Wangi Wangi,2757
Wantabadgery,187
Wantagong,57
Wantiool,42
Wapengo,73
Warabrook,1973
Waratah (NSW),4491
Waratah West,2991
Warburn,93
Wardell,832
Wardrop Valley,90
Wards Mistake,20
Wards River,179
Wareemba,1546
Warialda,1587
Warialda Rail,116
Warilla,6451
Warkworth,45
Warners Bay,7614
Warnervale,638
Warrabah,3
Warraderry,93
Warragai Creek,100
Warragamba,1241
Warragoon,117
Warrah,48
Warrah Creek,90
Warrah Ridge,98
Warral,373
Warranulla,34
Warrawee,2998
Warrawidgee,90
Warrawong,4749
Warrazambil Creek,21
Warregah Island,23
Warrell Creek,254
Warren,1391
Warri,106
Warriewood,7499
Warrimoo,2450
Warroo (NSW),126
Warrumbungle,4
Warwick Farm,5883
Washpool (Clarence Valley - NSW),0
Washpool (Mid-Coast - NSW),34
Watagan,122
Watanobbi,3860
Waterfall,493
Waterloo (NSW),14621
Watersleigh,27
Waterview,78
Waterview Heights,1322
Watsons Bay,847
Watsons Creek (NSW),117
Wattamolla,60
Wattamondara,210
Wattle Flat (NSW),255
Wattle Grove (NSW),8959
Wattle Ponds,1126
Wattle Ridge (NSW),3
Wattle Springs,70
Watton,83
Wauchope,6312
Waugorah,11
Waukivory,98
Waverley (NSW),4346
Waverly,51
Waverton,3026
Way Way,242
Wayo,122
Weabonga,49
Wean,23
Webbers Creek,29
Webbs Creek,48
Wedderburn (NSW),631
Wee Jasper,101
Wee Waa,2079
Weedallion,16
Weemelah,74
Weetaliba,46
Weethalle,254
Weilmoringle,73
Weismantels,29
Welaregang,39
Welby,760
Wellingrove,95
Wellington (NSW),4078
Wellington Vale,42
Wells Crossing,165
Wendoree Park,132
Wentworth (NSW),1437
Wentworth Falls,6077
Wentworth Point,6996
Wentworthville,11318
Werai,87
Wereboldera,3
Wermatong,40
Werombi,927
Werri Beach,560
Werrikimbe,0
Werrington,4027
Werrington County,3646
Werrington Downs,3249
Werris Creek,1572
West Albury,3853
West Ballina,3022
West Bathurst,3671
West Bungawalbin,63
West Coraki,123
West Gosford,1337
West Haven,1106
West Hoxton,10007
West Kempsey,4924
West Nowra,1410
West Pennant Hills,16377
West Pymble,5299
West Ryde,13397
West Tamworth,5202
West Wallsend,2240
West Wiangaree,112
West Wollongong,4829
West Wyalong,3143
Westbrook (NSW),146
Westdale (Snowy Valleys - NSW),0
Westdale (Tamworth Regional - NSW),2759
Westleigh,4457
Westmead,16311
Weston (NSW),3692
Westwood (NSW),9
Wetherill Park,6126
Wetuppa,3
Whalan,5975
Whale Beach,255
Wheeler Heights,2989
Wheeny Creek,18
Wheeo,74
Wherrol Flat,316
Whian Whian,140
Whiporie,74
White Cliffs,149
White Rock (NSW),795
Whitebridge,2606
Whiteman Creek,164
Whitlow,45
Whittingham,366
Whitton,492
Whoota,66
Wiagdon,31
Wiangaree,131
Wiarborough,18
Wickham (NSW),1078
Widden,69
Widgelli,67
Wilberforce (NSW),3005
Wilbetree,26
Wilcannia,742
Wild Cattle Creek,0
Wildes Meadow,256
Wiley Park,10130
Willala,58
Willawarrin,189
Willbriggie,136
Willi Willi,31
Williamsdale,59
Williamtown,887
Willigobung,50
Willina,60
Willmot,2437
Willoughby (NSW),6540
Willoughby East,1823
Willow Tree,309
Willow Vale (Kiama - NSW),77
Willow Vale (Wingecarribee - NSW),718
Willurah,0
Wilpinjong,0
Wilsons Creek,451
Wilton (NSW),3085
Wimbledon,106
Wimborne,21
Winburndale,0
Windale,3359
Windang,2658
Windella,738
Windellama,355
Windera (NSW),298
Windermere (NSW),62
Windermere Park,693
Windeyer (NSW),177
Windowie,25
Windradyne,2940
Windsor (NSW),1895
Windsor Downs,1183
Windy,0
Winegrove,37
Wingadee,15
Wingello,574
Wingen,325
Wingham,5374
Winifred,33
Winmalee,6205
Winston Hills,11672
Winton (NSW),225
Wirlinga,124
Wirraba,0
Wirragulla,29
Wirrimah,68
Wirrimbi,82
Wirrinya,89
Wisemans Creek,113
Wisemans Ferry,223
Wittitrin,86
Wog Wog (Bega Valley - NSW),0
Wog Wog (Queanbeyan-Palerang Regional - NSW),18
Woko,7
Wolgan Valley,70
Wollangambe,0
Wollar,71
Wollemi,0
Wolli Creek,6395
Wollogorang,62
Wollombi,188
Wollomombi,109
Wollongbar,2830
Wollongong,18441
Wollstonecraft,8323
Wollumboola,28
Wollun,66
Wolumla,699
Wombarra,868
Wombat,230
Wombat Creek (NSW),5
Wombeyan Caves,53
Womboota,107
Womerah,0
Wonboyn,106
Wonboyn North,0
Wondabyne,6
Wondalga,101
Wongarbon,766
Wongawilli,140
Wongo Creek,25
Wongwibinda,62
Woodberry,2989
Woodbine (NSW),2738
Woodburn (Richmond Valley - NSW),737
Woodburn (Shoalhaven - NSW),52
Woodcroft (NSW),6439
Woodenbong,379
Woodford (NSW),1935
Woodford Island,245
Woodhill (NSW),70
Woodhouselee,19
Woodlands (Eurobodalla - NSW),72
Woodlands (Wingecarribee - NSW),265
Woodlawn,42
Woodpark,1524
Woodrising,1167
Woodside (NSW),43
Woodsreef,72
Woodstock (Cowra - NSW),698
Woodstock (Inverell - NSW),31
Woodstock (Shoalhaven - NSW),252
Woodview,141
Woodville (NSW),431
Woody Head,3
Woolbrook,184
Woolgarlo,27
Woolgoolga,5289
Wooli,417
Woollahra,7407
Woollamia,560
Woolloomooloo,4007
Woolners Arm,7
Woolomin,276
Woolooma,44
Woolooware,3963
Wooloweyah,404
Woolwich,816
Woomargama,157
Woombah,843
Woongarrah,5226
Woonona,12181
Wootton,200
Wooyung,113
Worlds End (NSW),3
Woronora,2199
Woronora Dam,4
Woronora Heights,2859
Worrigee,5068
Worrowing Heights,501
Woy Woy,10641
Woy Woy Bay,416
Wrathall,21
Wrights Beach,134
Wrights Creek (NSW),26
Wuuluman,781
Wyalong,655
Wyan,41
Wyanbene,27
Wyangala,177
Wyangle,43
Wybong,126
Wybung,0
Wyee,2408
Wyee Point,1129
Wylie Creek,18
Wylies Flat,56
Wymah,39
Wyndham (NSW),384
Wyneden,47
Wyoming,10137
Wyong,4324
Wyong Creek,437
Wyongah,2020
Wyrallah,442
Yabbra,5
Yadboro,10
Yagon,0
Yagoona,18016
Yalbraith,18
Yallah,136
Yallaroi,113
Yalwal,0
Yamba (NSW),6075
Yambulla,0
Yanco,981
Yanderra,662
Yanga,31
Yankees Creek,0
Yannergee,27
Yantabulla,33
Yaouk,20
Yarara,21
Yarra,176
Yarrabandai,37
Yarrabin,85
Yarragal,17
Yarragrin,32
Yarragundry,70
Yarrahapinni,193
Yarramalong,341
Yarraman (NSW),17
Yarramundi,838
Yarranbella,189
Yarrangobilly,4
Yarras (Bathurst Regional - NSW),12
Yarras (Port Macquarie-Hastings - NSW),64
Yarratt Forest,0
Yarravel,1110
Yarrawa,95
Yarrawarrah,2735
Yarrawonga (NSW),419
Yarrawonga Park,384
Yarrie Lake,67
Yarrow,8
Yarrowford,66
Yarrowitch,168
Yarrowyck,127
Yass,6502
Yass River,350
Yathella,140
Yattalunga (NSW),549
Yatte Yattah,184
Yaven Creek,61
Yelgun,106
Yellow Dam,11
Yellow Pinch,47
Yellow Rock (Blue Mountains - NSW),1035
Yellow Rock (Shellharbour - NSW),202
Yenda (NSW),1535
Yengo National Park,0
Yennora,1619
Yeoval,426
Yerong Creek,354
Yerranderie,6
Yerrinbool,1160
Yerriyong,28
Yessabah,108
Yetholme,237
Yetman,208
Yippin Creek,199
Yoogali,1226
Yorklea,408
Young,10294
Yowie Bay,3074
Yowrie,113
Yullundry,19
Yuraygir,0
Zara,75
Zetland,10072
No usual address (NSW),12288
Migratory - Offshore - Shipping (NSW),419
Abbeyard,0
Abbotsford (Vic.),8184
Aberfeldie,3897
Aberfeldy,0
Acheron,169
Ada,0
Adams Estate,62
Addington,66
Adelaide Lead,82
Agnes,55
Aire Valley,0
Aireys Inlet,805
Airly,143
Airport West,7562
Albacutya,0
Albanvale,5494
Albert Park (Vic.),6214
Alberton (Vic.),262
Alberton West,81
Albion (Vic.),4734
Alexandra (Vic.),2699
Alfredton,9223
Allambee,24
Allambee Reserve,93
Allambee South,76
Allans Flat,318
Allansford,1523
Allendale,169
Allestree,125
Alma (Vic.),205
Almonds,25
Almurta,49
Alphington,5081
Altona (Vic.),10765
Altona Meadows,19159
Altona North,12155
Alvie,130
Amherst,63
Amor,0
Amphitheatre,245
Anakie,688
Ancona,81
Anderson,30
Anglers Rest,20
Anglesea,2548
Annuello,29
Antwerp,65
Apollo Bay (Vic.),1596
Appin (Vic.),13
Appin South,30
Apsley (Vic.),277
Ararat,8301
Arawata,82
Arbuckle,0
Arcadia (Vic.),216
Arcadia South,73
Archdale,21
Archdale Junction,3
Archerton,13
Archies Creek,25
Ardeer,3102
Ardmona,491
Areegra,35
Argyle (Vic.),215
Armadale (Vic.),9052
Armstrong,90
Armstrong Creek (Vic.),4246
Arnold (Vic.),47
Arnold West,24
Arthurs Creek,494
Arthurs Seat,394
Ascot (Ballarat - Vic.),98
Ascot (Greater Bendigo - Vic.),1969
Ascot Vale,14745
Ashbourne (Vic.),195
Ashburton,7753
Ashwood,6882
Aspendale,6942
Aspendale Gardens,6530
Athlone,124
Attwood,3416
Aubrey,11
Auchmore,8
Avalon,291
Avenel,1049
Avoca (Vic.),1196
Avon Plains,6
Avondale Heights,11633
Avonmore,43
Avonsleigh,849
Axe Creek,352
Axedale,797
Ayrford,44
Bacchus Marsh,6393
Baddaginnie,343
Badger Creek,1559
Bael Bael,9
Bagshot,290
Bagshot North,31
Bahgallah,37
Bailieston,109
Bairnsdale,7580
Bakery Hill,162
Balaclava (Vic.),5394
Bald Hills (Vic.),108
Balintore,67
Ballan,2986
Ballangeich,65
Ballapur,13
Ballarat Central,5328
Ballarat East,5619
Ballarat North,3928
Ballendella,123
Balliang,292
Balliang East,149
Ballyrogan,71
Balmattum,109
Balmoral (Vic.),290
Balnarring,2270
Balnarring Beach,418
Balook,5
Balwyn,13311
Balwyn North,20404
Bamawm,501
Bamawm Extension,236
Bambra,99
Bamganie,40
Bandiana,617
Bangerang,56
Bangholme,786
Bannerton,38
Bannockburn (Vic.),5282
Banyan,21
Banyena,30
Baranduda,2372
Barfold,88
Baringhup,204
Baringhup West,20
Barjarg,130
Barkers Creek,457
Barkly (Vic.),40
Barkstead,38
Barmah,279
Barnadown,17
Barnawartha,904
Barnawartha North,163
Baromi,130
Barongarook,433
Barongarook West,232
Barrabool,232
Barrakee,17
Barramunga,9
Barraport,37
Barraport West,8
Barrys Reef,40
Barunah Park,25
Barunah Plains,9
Barwidgee,110
Barwite,229
Barwon Downs,131
Barwon Heads,3872
Basalt (Vic.),13
Bass,357
Batesford,953
Bathumi,58
Baw Baw (Vic.),0
Baw Baw Village,34
Baxter,2162
Bayindeen,19
Bayles,461
Baynton (Vic.),103
Bayswater (Vic.),11759
Bayswater North,8794
Beaconsfield (Vic.),6715
Beaconsfield Upper,2867
Bealiba,205
Bearii,147
Bears Lagoon,71
Beauchamp,44
Beaufort (Vic.),1543
Beaumaris (Vic.),13344
Beazleys Bridge,20
Beeac,371
Beech Forest,80
Beechworth,3862
Beenak,25
Belgrave,3931
Belgrave Heights,1361
Belgrave South,1645
Bell Park,5013
Bell Post Hill,4914
Bellarine,167
Bellbird Creek,3
Bellbrae,866
Bellbridge,371
Bellellen,61
Bellfield (Banyule - Vic.),1796
Bellfield (Northern Grampians - Vic.),0
Bells Beach,134
Belmont (Vic.),14048
Bemm River,63
Bena,297
Benalla,10330
Benambra,151
Benayeo,60
Bend Of Islands,293
Bendigo,5513
Bendoc,117
Bengworden,64
Benjeroop,46
Benloch,131
Bennison,47
Bentleigh,16153
