,SSC,variable,value,sortOrder
221,Bobs Farm,Nil-Payments,3,1
222,Bodalla,Nil-Payments,4,1
223,Bogan Gate,Nil-Payments,3,1
224,Bogangar,Nil-Payments,6,1
225,Boggabilla,Nil-Payments,20,1
226,Boggabri,Nil-Payments,22,1
227,Bohena Creek,Nil-Payments,3,1
228,Bolivia,Nil-Payments,3,1
229,Bolton Point,Nil-Payments,4,1
230,Bolwarra Heights,Nil-Payments,4,1
231,Bomaderry,Nil-Payments,16,1
232,Bombala,Nil-Payments,15,1
233,Bomera,Nil-Payments,3,1
234,Bonalbo,Nil-Payments,6,1
235,Bondi,Nil-Payments,44,1
236,Bondi Beach,Nil-Payments,46,1
237,Bondi Junction,Nil-Payments,54,1
238,Bonnells Bay,Nil-Payments,7,1
239,Bonnet Bay,Nil-Payments,5,1
240,Bonny Hills,Nil-Payments,4,1
241,Bonnyrigg,Nil-Payments,10,1
242,Bonnyrigg Heights,Nil-Payments,8,1
243,Bonshaw (NSW),Nil-Payments,3,1
244,Bonville,Nil-Payments,12,1
245,Book Book,Nil-Payments,3,1
246,Booker Bay,Nil-Payments,9,1
247,Bookham,Nil-Payments,9,1
248,Bookookoorara,Nil-Payments,4,1
249,Boolaroo,Nil-Payments,6,1
250,Booligal,Nil-Payments,3,1
251,Boomanoomana,Nil-Payments,4,1
252,Boomerang Beach,Nil-Payments,3,1
253,Boomey,Nil-Payments,5,1
254,Boomi,Nil-Payments,18,1
255,Boonal,Nil-Payments,5,1
256,Boorabee Park,Nil-Payments,4,1
257,Booral (NSW),Nil-Payments,3,1
258,Boorolong,Nil-Payments,3,1
259,Boorook,Nil-Payments,4,1
260,Boorowa,Nil-Payments,21,1
261,Bootawa,Nil-Payments,3,1
262,Borah Creek,Nil-Payments,3,1
263,Boree,Nil-Payments,3,1
264,Boree Creek,Nil-Payments,3,1
265,Borenore,Nil-Payments,5,1
266,Bossley Park,Nil-Payments,30,1
267,Botany,Nil-Payments,26,1
268,Botobolar,Nil-Payments,5,1
269,Bourke,Nil-Payments,24,1
270,Bourkelands,Nil-Payments,4,1
271,Bowenfels,Nil-Payments,5,1
272,Bowning,Nil-Payments,7,1
273,Bowral,Nil-Payments,33,1
274,Box Hill (NSW),Nil-Payments,7,1
275,Boydtown,Nil-Payments,4,1
276,Bradbury (NSW),Nil-Payments,14,1
277,Braidwood,Nil-Payments,10,1
278,Brandy Hill,Nil-Payments,6,1
279,Branxton,Nil-Payments,7,1
280,Brayton,Nil-Payments,3,1
281,Breakfast Point,Nil-Payments,12,1
282,Breelong,Nil-Payments,3,1
283,Breeza,Nil-Payments,4,1
284,Bretti,Nil-Payments,4,1
285,Brewarrina,Nil-Payments,16,1
286,Bribbaree,Nil-Payments,7,1
287,Brighton-le-Sands,Nil-Payments,37,1
288,Bringelly,Nil-Payments,12,1
289,Broadmeadow,Nil-Payments,4,1
290,Broadwater (Richmond Valley - NSW),Nil-Payments,3,1
291,Brocklesby,Nil-Payments,3,1
292,Brogo,Nil-Payments,5,1
293,Broke (NSW),Nil-Payments,3,1
294,Broken Head,Nil-Payments,4,1
295,Broken Hill,Nil-Payments,113,1
296,Bronte,Nil-Payments,13,1
297,Brookfield (NSW),Nil-Payments,3,1
298,Brooklet,Nil-Payments,4,1
299,Brooklyn (NSW),Nil-Payments,4,1
300,Brookvale,Nil-Payments,15,1
301,Brooms Head,Nil-Payments,3,1
302,Broulee,Nil-Payments,12,1
303,Brungle,Nil-Payments,5,1
304,Brunswick Heads,Nil-Payments,10,1
305,Buchanan (NSW),Nil-Payments,7,1
306,Buckajo,Nil-Payments,6,1
307,Buckaroo,Nil-Payments,3,1
308,Buckra Bendinni,Nil-Payments,5,1
309,Budawang,Nil-Payments,4,1
310,Budden,Nil-Payments,3,1
311,Budgee Budgee (NSW),Nil-Payments,3,1
312,Budgewoi,Nil-Payments,13,1
313,Buff Point,Nil-Payments,8,1
314,Bugaldie,Nil-Payments,5,1
315,Bukkulla,Nil-Payments,5,1
316,Bulahdelah,Nil-Payments,12,1
317,Bulga (NSW),Nil-Payments,3,1
318,Bulgary,Nil-Payments,3,1
319,Bullagreen,Nil-Payments,3,1
320,Bullarah,Nil-Payments,8,1
321,Bulli,Nil-Payments,17,1
322,Bundagen,Nil-Payments,4,1
323,Bundanoon (NSW),Nil-Payments,10,1
324,Bundarra,Nil-Payments,10,1
325,Bundeena,Nil-Payments,8,1
326,Bundella,Nil-Payments,6,1
327,Bungalora,Nil-Payments,5,1
328,Bungawalbin,Nil-Payments,4,1
329,Bungendore,Nil-Payments,11,1
330,Bungonia,Nil-Payments,3,1
331,Bungwahl,Nil-Payments,5,1
332,Bunnaloo,Nil-Payments,5,1
333,Bunnan,Nil-Payments,3,1
334,Bunyah,Nil-Payments,5,1
335,Burcher,Nil-Payments,5,1
336,Bureen,Nil-Payments,3,1
337,Burradoo,Nil-Payments,17,1
338,Burraga,Nil-Payments,3,1
339,Burraneer,Nil-Payments,12,1
340,Burrell Creek,Nil-Payments,4,1
341,Burren Junction,Nil-Payments,11,1
342,Burrill Lake,Nil-Payments,3,1
343,Burringbar,Nil-Payments,6,1
344,Burroway,Nil-Payments,4,1
345,Burrundulla,Nil-Payments,4,1
346,Burwood (NSW),Nil-Payments,73,1
347,Busby,Nil-Payments,7,1
348,Buttaba,Nil-Payments,5,1
349,Buxton (NSW),Nil-Payments,5,1
350,Bylong,Nil-Payments,3,1
351,Byrock,Nil-Payments,4,1
352,Byron Bay,Nil-Payments,20,1
353,Byrrill Creek,Nil-Payments,4,1
354,Bywong,Nil-Payments,8,1
355,Cabarita (NSW),Nil-Payments,3,1
356,Cabramatta,Nil-Payments,103,1
357,Cabramatta West,Nil-Payments,25,1
358,Calala,Nil-Payments,22,1
359,Calderwood,Nil-Payments,8,1
360,Caldwell,Nil-Payments,5,1
361,Calimo,Nil-Payments,5,1
362,Callala Bay,Nil-Payments,7,1
363,Callala Beach,Nil-Payments,4,1
364,Calliope (NSW),Nil-Payments,6,1
365,Cambridge Park,Nil-Payments,8,1
366,Camden,Nil-Payments,10,1
367,Camden South,Nil-Payments,5,1
368,Cammeray,Nil-Payments,24,1
369,Campbelltown (NSW),Nil-Payments,17,1
370,Camperdown (NSW),Nil-Payments,36,1
371,Campsie,Nil-Payments,87,1
372,Canbelego,Nil-Payments,4,1
373,Candelo,Nil-Payments,9,1
374,Canley Heights,Nil-Payments,28,1
375,Canley Vale,Nil-Payments,32,1
376,Canowindra,Nil-Payments,33,1
377,Canterbury (NSW),Nil-Payments,28,1
378,Canton Beach,Nil-Payments,5,1
379,Canyonleigh,Nil-Payments,4,1
380,Capertee,Nil-Payments,3,1
381,Caragabal,Nil-Payments,8,1
382,Carcalgong,Nil-Payments,4,1
383,Carcoar,Nil-Payments,6,1
384,Cardiff (NSW),Nil-Payments,10,1
385,Cardiff South,Nil-Payments,6,1
386,Cargo,Nil-Payments,3,1
387,Carinda,Nil-Payments,14,1
388,Caringbah,Nil-Payments,33,1
389,Caringbah South,Nil-Payments,16,1
390,Carlingford,Nil-Payments,51,1
391,Carlton (NSW),Nil-Payments,43,1
392,Carnes Hill,Nil-Payments,3,1
393,Caroona,Nil-Payments,7,1
394,Carramar (NSW),Nil-Payments,10,1
395,Carrathool,Nil-Payments,19,1
396,Carrick (NSW),Nil-Payments,3,1
397,Carrington (Newcastle - NSW),Nil-Payments,8,1
398,Carroll,Nil-Payments,9,1
399,Carss Park,Nil-Payments,8,1
400,Carwell,Nil-Payments,6,1
401,Carwoola,Nil-Payments,3,1
402,Casino,Nil-Payments,30,1
403,Cassilis (NSW),Nil-Payments,15,1
404,Castle Cove,Nil-Payments,15,1
405,Castle Hill (NSW),Nil-Payments,71,1
406,Castle Rock,Nil-Payments,3,1
407,Castlecrag,Nil-Payments,8,1
408,Castlereagh,Nil-Payments,4,1
409,Casuarina (NSW),Nil-Payments,7,1
410,Casula,Nil-Payments,26,1
411,Catalina,Nil-Payments,3,1
412,Catherine Field,Nil-Payments,3,1
413,Catherine Hill Bay,Nil-Payments,5,1
414,Cattai,Nil-Payments,4,1
415,Cattle Creek (NSW),Nil-Payments,5,1
416,Caves Beach,Nil-Payments,7,1
417,Cawdor (NSW),Nil-Payments,7,1
418,Cawongla,Nil-Payments,4,1
419,Cecil Hills,Nil-Payments,6,1
420,Cecil Park,Nil-Payments,4,1
421,Cedar Point,Nil-Payments,3,1
422,Centennial Park (NSW),Nil-Payments,6,1
423,Central Mangrove,Nil-Payments,9,1
424,Central Tilba,Nil-Payments,3,1
425,Cessnock,Nil-Payments,41,1
426,Chain Valley Bay,Nil-Payments,5,1
427,Charlestown (NSW),Nil-Payments,35,1
428,Charmhaven,Nil-Payments,10,1
429,Chatswood,Nil-Payments,139,1
430,Chatswood West,Nil-Payments,3,1
431,Cheltenham (NSW),Nil-Payments,3,1
432,Cherrybrook,Nil-Payments,25,1
433,Chester Hill,Nil-Payments,32,1
434,Chifley (NSW),Nil-Payments,11,1
435,Chinderah,Nil-Payments,6,1
436,Chippendale,Nil-Payments,38,1
437,Chipping Norton,Nil-Payments,24,1
438,Chiswick,Nil-Payments,14,1
439,Chittaway Bay,Nil-Payments,3,1
440,Claremont Meadows,Nil-Payments,3,1
441,Clarence Town,Nil-Payments,6,1
442,Clarendon (NSW),Nil-Payments,4,1
443,Clarenza,Nil-Payments,3,1
444,Clareville,Nil-Payments,6,1
445,Claymore,Nil-Payments,5,1
446,Clemton Park,Nil-Payments,6,1
447,Clergate,Nil-Payments,4,1
448,Cleveland (NSW),Nil-Payments,5,1
449,Clontarf (NSW),Nil-Payments,8,1
450,Clovelly,Nil-Payments,18,1
451,Clunes (NSW),Nil-Payments,5,1
452,Coal Point,Nil-Payments,9,1
453,Coalcliff,Nil-Payments,3,1
454,Cobar,Nil-Payments,29,1
455,Cobark,Nil-Payments,7,1
456,Cobbadah,Nil-Payments,9,1
457,Cobbitty,Nil-Payments,9,1
458,Coffs Harbour,Nil-Payments,66,1
459,Coldstream (NSW),Nil-Payments,3,1
460,Coleambally,Nil-Payments,31,1
461,Coledale,Nil-Payments,7,1
462,Collarenebri,Nil-Payments,16,1
463,Collaroy (NSW),Nil-Payments,28,1
464,Collaroy Plateau,Nil-Payments,8,1
465,Collendina,Nil-Payments,7,1
466,Collie (NSW),Nil-Payments,12,1
467,Collingullie,Nil-Payments,3,1
468,Collombatti,Nil-Payments,6,1
469,Colo Heights,Nil-Payments,3,1
470,Colo Vale,Nil-Payments,4,1
471,Colyton,Nil-Payments,21,1
472,Combara,Nil-Payments,7,1
473,Comboyne,Nil-Payments,8,1
474,Come By Chance,Nil-Payments,6,1
475,Conargo,Nil-Payments,6,1
476,Concord,Nil-Payments,35,1
477,Concord West,Nil-Payments,22,1
478,Condell Park,Nil-Payments,31,1
479,Condobolin,Nil-Payments,41,1
480,Congarinni,Nil-Payments,6,1
481,Conimbia,Nil-Payments,3,1
482,Coniston,Nil-Payments,11,1
483,Connells Point,Nil-Payments,4,1
484,Constitution Hill,Nil-Payments,12,1
485,Coogee (NSW),Nil-Payments,41,1
486,Cookardinia,Nil-Payments,3,1
487,Cooks Hill,Nil-Payments,5,1
488,Coolabah,Nil-Payments,4,1
489,Coolac,Nil-Payments,6,1
490,Coolagolite,Nil-Payments,3,1
491,Coolah,Nil-Payments,28,1
492,Coolamon,Nil-Payments,7,1
493,Coolangatta (NSW),Nil-Payments,7,1
494,Coolatai,Nil-Payments,6,1
495,Coolongolook,Nil-Payments,4,1
496,Coolringdon,Nil-Payments,6,1
497,Cooma (NSW),Nil-Payments,39,1
498,Coomealla,Nil-Payments,7,1
499,Coonabarabran,Nil-Payments,9,1
500,Coonamble,Nil-Payments,23,1
501,Coopernook,Nil-Payments,4,1
502,Coopers Gully,Nil-Payments,4,1
503,Coopers Shoot,Nil-Payments,3,1
504,Cooplacurripa,Nil-Payments,5,1
505,Coorabell,Nil-Payments,10,1
506,Cooranbong,Nil-Payments,8,1
507,Cootamundra,Nil-Payments,41,1
508,Cootralantra,Nil-Payments,7,1
509,Copacabana,Nil-Payments,4,1
510,Copmanhurst,Nil-Payments,3,1
511,Coraki,Nil-Payments,3,1
512,Coralville,Nil-Payments,6,1
513,Corbie Hill,Nil-Payments,3,1
514,Cordeaux Heights,Nil-Payments,7,1
515,Coreen,Nil-Payments,3,1
516,Corindi Beach,Nil-Payments,6,1
517,Corlette,Nil-Payments,11,1
518,Corobimilla,Nil-Payments,5,1
519,Corowa,Nil-Payments,17,1
520,Corrimal,Nil-Payments,13,1
521,Corunna,Nil-Payments,4,1
522,Courabyra,Nil-Payments,6,1
523,Couradda,Nil-Payments,6,1
524,Coutts Crossing,Nil-Payments,3,1
525,Cowra,Nil-Payments,42,1
526,Cranebrook,Nil-Payments,17,1
527,Crawney,Nil-Payments,5,1
528,Cremorne (NSW),Nil-Payments,46,1
529,Cremorne Point,Nil-Payments,12,1
530,Crescent Head,Nil-Payments,9,1
531,Crestwood,Nil-Payments,20,1
532,Cringila,Nil-Payments,11,1
533,Cromer (NSW),Nil-Payments,13,1
534,Cronulla,Nil-Payments,63,1
535,Crooble,Nil-Payments,4,1
536,Croobyar,Nil-Payments,3,1
537,Crooked Corner,Nil-Payments,4,1
538,Crookwell,Nil-Payments,20,1
539,Croom,Nil-Payments,4,1
540,Croppa Creek,Nil-Payments,11,1
541,Crosslands,Nil-Payments,4,1
542,Crows Nest (NSW),Nil-Payments,8,1
543,Croydon (NSW),Nil-Payments,33,1
544,Croydon Park (NSW),Nil-Payments,22,1
545,Crudine,Nil-Payments,3,1
546,Crystal Creek (NSW),Nil-Payments,5,1
547,Cudal,Nil-Payments,6,1
548,Cudgen,Nil-Payments,10,1
549,Cudgera Creek,Nil-Payments,6,1
550,Culburra Beach,Nil-Payments,8,1
551,Culcairn,Nil-Payments,11,1
552,Cullivel,Nil-Payments,4,1
553,Cumborah,Nil-Payments,7,1
554,Cumnock,Nil-Payments,9,1
555,Cundletown,Nil-Payments,4,1
556,Curl Curl,Nil-Payments,12,1
557,Curlewis (NSW),Nil-Payments,11,1
558,Currabubula,Nil-Payments,6,1
559,Curramore (NSW),Nil-Payments,3,1
560,Currans Hill,Nil-Payments,4,1
561,Currarong,Nil-Payments,3,1
562,Curraweela,Nil-Payments,3,1
563,Cuttabri,Nil-Payments,3,1
564,Dabee,Nil-Payments,3,1
565,Daceyville,Nil-Payments,4,1
566,Dalgety,Nil-Payments,9,1
567,Dalmeny,Nil-Payments,5,1
568,Dalswinton,Nil-Payments,4,1
569,Dangarsleigh,Nil-Payments,3,1
570,Dapto,Nil-Payments,10,1
571,Darawank,Nil-Payments,7,1
572,Dareton,Nil-Payments,3,1
573,Darling Point,Nil-Payments,23,1
574,Darlinghurst,Nil-Payments,34,1
575,Darlington (Sydney - NSW),Nil-Payments,7,1
576,Darlington Point,Nil-Payments,30,1
577,Daysdale,Nil-Payments,3,1
578,Dee Why,Nil-Payments,65,1
579,Deepwater (NSW),Nil-Payments,7,1
580,Deer Vale,Nil-Payments,4,1
581,Delegate,Nil-Payments,5,1
582,Delungra,Nil-Payments,9,1
583,Denham Court,Nil-Payments,32,1
584,Deniliquin,Nil-Payments,30,1
585,Denistone,Nil-Payments,11,1
586,Denistone East,Nil-Payments,8,1
587,Denman,Nil-Payments,10,1
588,Deua River Valley,Nil-Payments,5,1
589,Dharruk,Nil-Payments,11,1
590,Diamond Beach,Nil-Payments,5,1
591,Diehard,Nil-Payments,6,1
592,Dinoga,Nil-Payments,3,1
593,Dirnaseer,Nil-Payments,3,1
594,Dolls Point,Nil-Payments,10,1
595,Dombarton,Nil-Payments,3,1
596,Doon Doon,Nil-Payments,3,1
597,Doonside,Nil-Payments,35,1
598,Dooralong,Nil-Payments,8,1
599,Dora Creek,Nil-Payments,7,1
600,Dorrigo,Nil-Payments,8,1
601,Double Bay,Nil-Payments,28,1
602,Douglas Park,Nil-Payments,3,1
603,Dover Heights,Nil-Payments,13,1
604,Doyalson North,Nil-Payments,6,1
605,Drildool,Nil-Payments,5,1
606,Drummoyne,Nil-Payments,53,1
607,Dry Creek (NSW),Nil-Payments,3,1
608,Dry Plain,Nil-Payments,4,1
609,Dubbo,Nil-Payments,92,1
610,Dudley,Nil-Payments,5,1
611,Dulwich Hill,Nil-Payments,41,1
612,Dumaresq,Nil-Payments,3,1
613,Dumaresq Valley,Nil-Payments,4,1
614,Dunbogan,Nil-Payments,3,1
615,Dundas (NSW),Nil-Payments,12,1
616,Dundas Valley,Nil-Payments,5,1
617,Dunedoo,Nil-Payments,13,1
618,Dungay,Nil-Payments,3,1
619,Dungog,Nil-Payments,7,1
620,Dunmore (NSW),Nil-Payments,3,1
621,Duns Creek,Nil-Payments,5,1
622,Dural (Hornsby - NSW),Nil-Payments,27,1
623,Duramana,Nil-Payments,7,1
624,Duri,Nil-Payments,3,1
625,Eagle Vale,Nil-Payments,6,1
626,Earlwood,Nil-Payments,47,1
627,East Albury,Nil-Payments,10,1
628,East Ballina,Nil-Payments,10,1
629,East Coraki,Nil-Payments,3,1
630,East Corrimal,Nil-Payments,11,1
631,East Gosford,Nil-Payments,11,1
632,East Gresford,Nil-Payments,3,1
633,East Hills,Nil-Payments,16,1
634,East Jindabyne,Nil-Payments,6,1
635,East Kempsey,Nil-Payments,3,1
636,East Killara,Nil-Payments,14,1
637,East Kurrajong,Nil-Payments,10,1
638,East Lindfield,Nil-Payments,8,1
639,East Lismore,Nil-Payments,9,1
640,East Maitland,Nil-Payments,16,1
641,East Ryde,Nil-Payments,4,1
642,East Tamworth,Nil-Payments,24,1
643,Eastern Creek,Nil-Payments,3,1
644,Eastgardens,Nil-Payments,3,1
645,Eastlakes,Nil-Payments,25,1
646,Eastwood (NSW),Nil-Payments,67,1
647,Ebenezer (NSW),Nil-Payments,5,1
648,Ebor,Nil-Payments,8,1
649,Eden,Nil-Payments,12,1
650,Eden Creek,Nil-Payments,5,1
651,Edensor Park,Nil-Payments,17,1
652,Edgecliff,Nil-Payments,14,1
653,Edgeroi,Nil-Payments,4,1
654,Edgeworth,Nil-Payments,12,1
655,Edmondson Park,Nil-Payments,5,1
656,Eglinton (NSW),Nil-Payments,3,1
657,Elanora Heights,Nil-Payments,9,1
658,Elderslie (Camden - NSW),Nil-Payments,12,1
659,Elderslie (Singleton - NSW),Nil-Payments,5,1
660,Eleebana,Nil-Payments,11,1
661,Elermore Vale,Nil-Payments,12,1
662,Elizabeth Bay,Nil-Payments,24,1
663,Elizabeth Hills,Nil-Payments,6,1
664,Ellalong,Nil-Payments,3,1
665,Ellangowan (NSW),Nil-Payments,4,1
