"","SSC","variable","value"
"170","Bandon Grove","Buddhism",0
"171","Bangadang","Buddhism",0
"172","Bangalee (NSW)","Buddhism",5
"173","Bangalow","Buddhism",36
"174","Bangheet","Buddhism",0
"175","Bango","Buddhism",0
"176","Bangor (NSW)","Buddhism",42
"177","Banksia","Buddhism",141
"178","Banksmeadow","Buddhism",0
"179","Bankstown","Buddhism",3551
"180","Bankstown Aerodrome","Buddhism",0
"181","Bannaby","Buddhism",0
"182","Bannister (NSW)","Buddhism",4
"183","Banoon","Buddhism",0
"184","Banora Point","Buddhism",134
"185","Banyabba","Buddhism",0
"186","Bar Beach","Buddhism",9
"187","Bar Point","Buddhism",0
"188","Bara","Buddhism",0
"189","Baradine","Buddhism",5
"190","Barangaroo","Buddhism",7
"191","Barcoongere","Buddhism",0
"192","Barden Ridge","Buddhism",33
"193","Bardia","Buddhism",58
"194","Bardwell Park","Buddhism",82
"195","Bardwell Valley","Buddhism",40
"196","Barellan","Buddhism",5
"197","Bargo","Buddhism",23
"198","Barham","Buddhism",10
"199","Barigan","Buddhism",0
"200","Barkers Vale","Buddhism",3
"201","Barmedman","Buddhism",0
"202","Barneys Reef","Buddhism",0
"203","Barnsley","Buddhism",6
"204","Barooga","Buddhism",10
"205","Barraba","Buddhism",4
"206","Barrack Heights","Buddhism",34
"207","Barrack Point","Buddhism",11
"208","Barraganyatti","Buddhism",0
"209","Barragga Bay","Buddhism",8
"210","Barratta (NSW)","Buddhism",0
"211","Barren Grounds","Buddhism",0
"212","Barrengarry","Buddhism",0
"213","Barretts Creek","Buddhism",0
"214","Barringella","Buddhism",0
"215","Barrington (NSW)","Buddhism",5
"216","Barrington Tops","Buddhism",0
"217","Barry (Blayney - NSW)","Buddhism",0
"218","Barry (Upper Hunter Shire - NSW)","Buddhism",0
"219","Barwang","Buddhism",0
"220","Barwon","Buddhism",0
"221","Baryulgil","Buddhism",0
"222","Basin View","Buddhism",5
"223","Bass Hill","Buddhism",551
"224","Bassendean (NSW)","Buddhism",0
"225","Batar Creek","Buddhism",0
"226","Bateau Bay","Buddhism",69
"227","Batehaven","Buddhism",19
"228","Batemans Bay","Buddhism",11
"229","Bathampton","Buddhism",6
"230","Bathurst","Buddhism",102
"231","Batlow","Buddhism",19
"232","Baulkham Hills","Buddhism",1195
"233","Baw Baw (NSW)","Buddhism",0
"234","Bawley Point","Buddhism",11
"235","Baxters Ridge","Buddhism",0
"236","Bayview (NSW)","Buddhism",21
"237","Beacon Hill","Buddhism",165
"238","Beaconsfield (NSW)","Buddhism",40
"239","Bean Creek","Buddhism",0
"240","Bearbong","Buddhism",0
"241","Beaumont (NSW)","Buddhism",0
"242","Beckom","Buddhism",8
"243","Bective","Buddhism",0
"244","Bectric","Buddhism",0
"245","Bedgerabong","Buddhism",0
"246","Beechwood","Buddhism",3
"247","Beecroft","Buddhism",285
"248","Beecroft Peninsula","Buddhism",0
"249","Beelbangera","Buddhism",0
"250","Beemunnel","Buddhism",0
"251","Bega","Buddhism",40
"252","Beggan Beggan","Buddhism",0
"253","Belanglo","Buddhism",0
"254","Belbora","Buddhism",0
"255","Belfield","Buddhism",261
"256","Belford","Buddhism",0
"257","Belfrayden","Buddhism",0
"258","Belgravia","Buddhism",0
"259","Belimbla Park","Buddhism",6
"260","Bell (NSW)","Buddhism",0
"261","Bella Vista","Buddhism",343
"262","Bellambi","Buddhism",51
