"","V1","SSC","variable","value"
"181","892","Chatswood","Train",3363
"182","893","Chatswood West","Train",45
"183","896","Cheltenham (NSW)","Train",313
"184","898","Cherrybrook","Train",292
"185","899","Chester Hill","Train",413
"186","907","Chippendale","Train",750
"187","908","Chipping Norton","Train",274
"188","909","Chisholm (NSW)","Train",3
"189","910","Chiswick","Train",13
"190","911","Chittaway Bay","Train",21
"191","912","Chittaway Point","Train",6
"192","918","Claremont Meadows","Train",133
"193","920","Clarence Town","Train",6
"194","924","Claymore","Train",22
"195","928","Clemton Park","Train",56
"196","938","Clovelly","Train",31
"197","943","Coal Point","Train",6
"198","944","Coalcliff","Train",10
"199","954","Cobbitty","Train",9
"200","961","Cogra Bay","Train",3
"201","965","Colebee","Train",93
"202","966","Coledale","Train",53
"203","987","Colyton","Train",174
"204","996","Como (NSW)","Train",485
"205","999","Concord","Train",749
"206","1000","Concord West","Train",535
"207","1001","Condell Park","Train",292
"208","1010","Coniston","Train",56
"209","1013","Connells Point","Train",105
"210","1014","Constitution Hill","Train",110
"211","1015","Coogee (NSW)","Train",88
"212","1019","Cooks Hill","Train",10
"213","1052","Cooranbong","Train",30
"214","1056","Copacabana","Train",29
"215","1070","Cordeaux Heights","Train",46
"216","1082","Corrimal","Train",78
"217","1093","Couridjah","Train",4
"218","1097","Cowan","Train",40
"219","1105","Cranebrook","Train",379
"220","1112","Cremorne (NSW)","Train",48
"221","1116","Cringila","Train",6
"222","1119","Cronulla","Train",1447
"223","1131","Crows Nest (NSW)","Train",312
"224","1134","Croydon (NSW)","Train",1205
"225","1135","Croydon Park (NSW)","Train",421
"226","1146","Culburra Beach","Train",6
"227","1175","Currans Hill","Train",90
"228","1189","Daleys Point","Train",18
"229","1199","Dangar Island","Train",9
"230","1202","Dapto","Train",106
"231","1211","Darling Point","Train",446
"232","1212","Darlinghurst","Train",1077
"233","1214","Darlington (Sydney - NSW)","Train",428
"234","1221","Davistown","Train",15
"235","1222","Dawes Point","Train",10
"236","1224","Dean Park","Train",57
"237","1235","Denham Court","Train",48
"238","1238","Denistone","Train",364
"239","1239","Denistone East","Train",106
"240","1240","Denistone West","Train",70
"241","1248","Dharruk","Train",82
"242","1266","Dolans Bay","Train",19
"243","1267","Dolls Point","Train",43
"244","1275","Doonside","Train",695
"245","1276","Dooralong","Train",4
"246","1277","Dora Creek","Train",18
"247","1281","Double Bay","Train",514
"248","1283","Douglas Park","Train",30
"249","1284","Dover Heights","Train",34
"250","1303","Dulwich Hill","Train",1378
"251","1312","Dundas (NSW)","Train",129
"252","1313","Dundas Valley","Train",124
"253","1328","Dural (Hornsby - NSW)","Train",58
"254","1341","Eagle Vale","Train",180
"255","1343","Earlwood","Train",1072
"256","1348","East Corrimal","Train",62
"257","1349","East Gosford","Train",87
"258","1351","East Hills","Train",247
"259","1355","East Killara","Train",206
"260","1356","East Kurrajong","Train",14
"261","1357","East Lindfield","Train",169
"262","1360","East Maitland","Train",59
"263","1361","East Ryde","Train",21
"264","1366","Eastern Creek","Train",9
"265","1368","Eastlakes","Train",32
"266","1369","Eastwood (NSW)","Train",1672
"267","1371","Ebenezer (NSW)","Train",6
"268","1377","Edensor Park","Train",181
"269","1379","Edgecliff","Train",553
"270","1383","Edmondson Park","Train",122
